loss: 0.011835 (l2_loss: 0.023628), valid_loss: 0.016166
loss: 0.013627 (l2_loss: 0.023033), valid_loss: 0.016472
loss: 0.017732 (l2_loss: 0.021534), valid_loss: 0.017206
loss: 0.018106 (l2_loss: 0.020792), valid_loss: 0.008097
loss: 0.012001 (l2_loss: 0.020149), valid_loss: 0.009959
loss: 0.010279 (l2_loss: 0.019454), valid_loss: 0.011352
loss: 0.007516 (l2_loss: 0.018824), valid_loss: 0.012165
loss: 0.012174 (l2_loss: 0.018207), valid_loss: 0.016580
loss: 0.006704 (l2_loss: 0.017828), valid_loss: 0.012873
loss: 0.016221 (l2_loss: 0.017461), valid_loss: 0.013630
loss: 0.008042 (l2_loss: 0.017014), valid_loss: 0.010242
loss: 0.007904 (l2_loss: 0.016647), valid_loss: 0.012942
loss: 0.006434 (l2_loss: 0.016731), valid_loss: 0.011399
loss: 0.017433 (l2_loss: 0.016530), valid_loss: 0.006284
loss: 0.009493 (l2_loss: 0.016065), valid_loss: 0.013027
loss: 0.006113 (l2_loss: 0.015901), valid_loss: 0.016472
loss: 0.007740 (l2_loss: 0.015469), valid_loss: 0.006559
loss: 0.010960 (l2_loss: 0.015455), valid_loss: 0.008788
loss: 0.011171 (l2_loss: 0.014964), valid_loss: 0.009193
loss: 0.009137 (l2_loss: 0.015063), valid_loss: 0.006731
loss: 0.009232 (l2_loss: 0.015039), valid_loss: 0.013185
loss: 0.007696 (l2_loss: 0.014879), valid_loss: 0.009597
loss: 0.011320 (l2_loss: 0.014593), valid_loss: 0.007645
[[1.         0.98838687]
 [0.98838687 1.        ]]
0.9883868688934343
