loss: 0.055475 (l2_loss: 0.039465), valid_loss: 0.045085
loss: 0.054187 (l2_loss: 0.036957), valid_loss: 0.042010
loss: 0.050538 (l2_loss: 0.034537), valid_loss: 0.031045
loss: 0.038647 (l2_loss: 0.033463), valid_loss: 0.037559
loss: 0.041459 (l2_loss: 0.032068), valid_loss: 0.033586
loss: 0.039033 (l2_loss: 0.030767), valid_loss: 0.034898
loss: 0.061334 (l2_loss: 0.029734), valid_loss: 0.034071
loss: 0.041994 (l2_loss: 0.029195), valid_loss: 0.038183
loss: 0.054036 (l2_loss: 0.028828), valid_loss: 0.037575
loss: 0.033600 (l2_loss: 0.027789), valid_loss: 0.032153
loss: 0.031764 (l2_loss: 0.027365), valid_loss: 0.024298
loss: 0.041747 (l2_loss: 0.026818), valid_loss: 0.038359
loss: 0.022624 (l2_loss: 0.026282), valid_loss: 0.024340
loss: 0.037572 (l2_loss: 0.025702), valid_loss: 0.033442
loss: 0.032230 (l2_loss: 0.025360), valid_loss: 0.022075
loss: 0.021828 (l2_loss: 0.024981), valid_loss: 0.027540
loss: 0.021530 (l2_loss: 0.024764), valid_loss: 0.031303
loss: 0.032264 (l2_loss: 0.024425), valid_loss: 0.031992
loss: 0.021092 (l2_loss: 0.024300), valid_loss: 0.021215
loss: 0.055483 (l2_loss: 0.023944), valid_loss: 0.024877
loss: 0.025934 (l2_loss: 0.023681), valid_loss: 0.020805
loss: 0.024229 (l2_loss: 0.023658), valid_loss: 0.033582
loss: 0.027187 (l2_loss: 0.023367), valid_loss: 0.029300
[[1.         0.93564974]
 [0.93564974 1.        ]]
0.9356497362655011
