loss: 1.810590 (l2_loss: 0.009395), valid_loss: 2.947985
loss: 2.719624 (l2_loss: 0.008788), valid_loss: 1.802790
loss: 1.533264 (l2_loss: 0.008323), valid_loss: 2.669467
loss: 1.767307 (l2_loss: 0.007973), valid_loss: 2.107427
loss: 2.026037 (l2_loss: 0.007749), valid_loss: 2.587483
loss: 2.685437 (l2_loss: 0.007648), valid_loss: 2.243061
loss: 1.994830 (l2_loss: 0.007662), valid_loss: 2.055279
loss: 1.957378 (l2_loss: 0.007798), valid_loss: 2.135409
loss: 1.692126 (l2_loss: 0.008056), valid_loss: 1.950202
loss: 1.959650 (l2_loss: 0.008435), valid_loss: 1.972773
loss: 0.334381 (l2_loss: 0.040089), valid_loss: 0.472153
loss: 0.243088 (l2_loss: 0.039287), valid_loss: 0.211373
loss: 0.171088 (l2_loss: 0.044716), valid_loss: 0.192625
loss: 0.183700 (l2_loss: 0.051349), valid_loss: 0.116815
loss: 0.081859 (l2_loss: 0.051092), valid_loss: 0.106957
loss: 0.066974 (l2_loss: 0.051067), valid_loss: 0.076642
loss: 0.059431 (l2_loss: 0.050112), valid_loss: 0.043143
loss: 0.080048 (l2_loss: 0.048277), valid_loss: 0.072534
loss: 0.044230 (l2_loss: 0.046477), valid_loss: 0.038259
loss: 0.046020 (l2_loss: 0.045725), valid_loss: 0.044108
loss: 0.035932 (l2_loss: 0.043762), valid_loss: 0.043567
loss: 0.039542 (l2_loss: 0.041584), valid_loss: 0.034735
loss: 0.038653 (l2_loss: 0.040664), valid_loss: 0.048901
loss: 0.038890 (l2_loss: 0.039824), valid_loss: 0.038299
loss: 0.042447 (l2_loss: 0.039415), valid_loss: 0.032986
loss: 0.040956 (l2_loss: 0.038873), valid_loss: 0.026524
loss: 0.027592 (l2_loss: 0.038281), valid_loss: 0.026237
loss: 0.032099 (l2_loss: 0.037607), valid_loss: 0.048514
loss: 0.028351 (l2_loss: 0.037016), valid_loss: 0.030725
loss: 0.033593 (l2_loss: 0.036242), valid_loss: 0.033599
loss: 0.026387 (l2_loss: 0.036286), valid_loss: 0.040296
loss: 0.026276 (l2_loss: 0.035812), valid_loss: 0.027889
loss: 0.029532 (l2_loss: 0.035279), valid_loss: 0.033285
loss: 0.033083 (l2_loss: 0.034857), valid_loss: 0.052142
loss: 0.030300 (l2_loss: 0.034922), valid_loss: 0.023567
loss: 0.045657 (l2_loss: 0.034480), valid_loss: 0.021332
loss: 0.044611 (l2_loss: 0.034034), valid_loss: 0.031702
loss: 0.028202 (l2_loss: 0.033919), valid_loss: 0.033136
loss: 0.027676 (l2_loss: 0.033979), valid_loss: 0.024576
loss: 2.727109 (l2_loss: 0.009332), valid_loss: 3.255947
loss: 1.743321 (l2_loss: 0.008730), valid_loss: 2.471355
loss: 1.832951 (l2_loss: 0.008267), valid_loss: 2.596460
loss: 2.252331 (l2_loss: 0.007936), valid_loss: 2.447701
loss: 1.854371 (l2_loss: 0.007728), valid_loss: 2.129870
loss: 2.767918 (l2_loss: 0.007641), valid_loss: 2.448866
loss: 2.464011 (l2_loss: 0.007665), valid_loss: 1.804921
loss: 1.887676 (l2_loss: 0.007806), valid_loss: 1.861502
loss: 2.178006 (l2_loss: 0.008068), valid_loss: 1.418608
loss: 1.376070 (l2_loss: 0.008442), valid_loss: 1.977476
loss: 0.266407 (l2_loss: 0.040016), valid_loss: 0.371443
loss: 0.189253 (l2_loss: 0.042312), valid_loss: 0.324322
loss: 0.244048 (l2_loss: 0.046834), valid_loss: 0.151548
loss: 0.145743 (l2_loss: 0.050927), valid_loss: 0.156876
loss: 0.079949 (l2_loss: 0.051555), valid_loss: 0.083062
loss: 0.055164 (l2_loss: 0.051985), valid_loss: 0.086598
loss: 0.049038 (l2_loss: 0.048299), valid_loss: 0.043914
loss: 0.047296 (l2_loss: 0.046400), valid_loss: 0.086610
loss: 0.045887 (l2_loss: 0.045343), valid_loss: 0.034491
loss: 0.029047 (l2_loss: 0.043835), valid_loss: 0.049840
loss: 0.040352 (l2_loss: 0.042447), valid_loss: 0.042304
loss: 0.038933 (l2_loss: 0.040830), valid_loss: 0.028482
loss: 0.085081 (l2_loss: 0.039404), valid_loss: 0.040813
loss: 0.069286 (l2_loss: 0.039684), valid_loss: 0.018267
loss: 0.030399 (l2_loss: 0.038558), valid_loss: 0.031261
loss: 0.021413 (l2_loss: 0.038528), valid_loss: 0.035138
loss: 0.028235 (l2_loss: 0.037522), valid_loss: 0.034153
loss: 0.034201 (l2_loss: 0.036942), valid_loss: 0.026627
loss: 0.020467 (l2_loss: 0.036240), valid_loss: 0.033698
loss: 0.044225 (l2_loss: 0.035886), valid_loss: 0.041314
loss: 0.036376 (l2_loss: 0.035749), valid_loss: 0.032818
loss: 0.029330 (l2_loss: 0.035445), valid_loss: 0.029082
loss: 0.023294 (l2_loss: 0.035077), valid_loss: 0.034602
loss: 0.021908 (l2_loss: 0.035184), valid_loss: 0.025309
loss: 0.039716 (l2_loss: 0.034787), valid_loss: 0.024895
loss: 0.036054 (l2_loss: 0.034044), valid_loss: 0.043645
loss: 0.018813 (l2_loss: 0.034255), valid_loss: 0.046687
loss: 0.023173 (l2_loss: 0.033906), valid_loss: 0.031565
loss: 0.019119 (l2_loss: 0.033875), valid_loss: 0.029575
loss: 2.490120 (l2_loss: 0.009462), valid_loss: 3.095696
loss: 2.591079 (l2_loss: 0.008885), valid_loss: 2.266501
loss: 3.229037 (l2_loss: 0.008450), valid_loss: 3.291210
loss: 2.275957 (l2_loss: 0.008143), valid_loss: 1.843123
loss: 2.653669 (l2_loss: 0.007964), valid_loss: 2.210729
loss: 2.213623 (l2_loss: 0.007905), valid_loss: 2.492544
loss: 2.630734 (l2_loss: 0.007963), valid_loss: 2.110384
loss: 1.183528 (l2_loss: 0.008138), valid_loss: 1.738919
loss: 2.190830 (l2_loss: 0.008426), valid_loss: 1.119867
loss: 2.073779 (l2_loss: 0.008826), valid_loss: 1.593930
loss: 0.278036 (l2_loss: 0.038101), valid_loss: 0.372804
loss: 0.264764 (l2_loss: 0.038589), valid_loss: 0.232923
loss: 0.183707 (l2_loss: 0.044060), valid_loss: 0.183021
loss: 0.234092 (l2_loss: 0.047803), valid_loss: 0.147226
loss: 0.097403 (l2_loss: 0.052223), valid_loss: 0.078188
loss: 0.053076 (l2_loss: 0.051493), valid_loss: 0.096222
loss: 0.062002 (l2_loss: 0.049416), valid_loss: 0.080319
loss: 0.042875 (l2_loss: 0.049007), valid_loss: 0.049045
loss: 0.044521 (l2_loss: 0.046650), valid_loss: 0.056178
loss: 0.027373 (l2_loss: 0.044968), valid_loss: 0.045047
loss: 0.039401 (l2_loss: 0.043471), valid_loss: 0.045601
loss: 0.032436 (l2_loss: 0.042294), valid_loss: 0.028148
loss: 0.033377 (l2_loss: 0.041935), valid_loss: 0.032119
loss: 0.034588 (l2_loss: 0.039826), valid_loss: 0.053411
loss: 0.038502 (l2_loss: 0.039357), valid_loss: 0.034426
loss: 0.034762 (l2_loss: 0.039042), valid_loss: 0.030669
loss: 0.039429 (l2_loss: 0.037306), valid_loss: 0.042126
loss: 0.033394 (l2_loss: 0.038225), valid_loss: 0.032231
loss: 0.025229 (l2_loss: 0.037422), valid_loss: 0.047035
loss: 0.037716 (l2_loss: 0.036589), valid_loss: 0.028317
loss: 0.041095 (l2_loss: 0.035820), valid_loss: 0.025832
loss: 0.026961 (l2_loss: 0.035832), valid_loss: 0.022980
