****************
acc: 0.9162
****************
loss: 0.628016 (l2_loss: 0.374168), acc: 0.953125, valid_acc: 1.000000
loss: 0.584175 (l2_loss: 0.373125), acc: 0.968750, valid_acc: 1.000000
loss: 0.560207 (l2_loss: 0.372085), acc: 0.984375, valid_acc: 1.000000
loss: 0.516063 (l2_loss: 0.371052), acc: 1.000000, valid_acc: 0.984375
loss: 0.486657 (l2_loss: 0.370023), acc: 1.000000, valid_acc: 1.000000
loss: 0.460173 (l2_loss: 0.368996), acc: 1.000000, valid_acc: 0.984375
loss: 0.420094 (l2_loss: 0.367972), acc: 1.000000, valid_acc: 1.000000
loss: 0.367863 (l2_loss: 0.366955), acc: 1.000000, valid_acc: 1.000000
loss: 0.355925 (l2_loss: 0.365946), acc: 1.000000, valid_acc: 1.000000
loss: 0.352911 (l2_loss: 0.364940), acc: 1.000000, valid_acc: 1.000000
loss: 0.048788 (l2_loss: 0.265642), acc: 0.968750, valid_acc: 1.000000
loss: 0.018136 (l2_loss: 0.181289), acc: 1.000000, valid_acc: 1.000000
loss: 0.009483 (l2_loss: 0.126884), acc: 1.000000, valid_acc: 1.000000
loss: 0.009757 (l2_loss: 0.091193), acc: 1.000000, valid_acc: 1.000000
loss: 0.002207 (l2_loss: 0.067658), acc: 1.000000, valid_acc: 1.000000
loss: 0.002292 (l2_loss: 0.051950), acc: 1.000000, valid_acc: 0.984375
loss: 0.010139 (l2_loss: 0.040855), acc: 1.000000, valid_acc: 1.000000
loss: 0.005094 (l2_loss: 0.033329), acc: 1.000000, valid_acc: 1.000000
loss: 0.004144 (l2_loss: 0.028126), acc: 1.000000, valid_acc: 1.000000
loss: 0.004466 (l2_loss: 0.024479), acc: 1.000000, valid_acc: 1.000000
loss: 0.005614 (l2_loss: 0.021488), acc: 1.000000, valid_acc: 1.000000
loss: 0.005677 (l2_loss: 0.019673), acc: 1.000000, valid_acc: 1.000000
loss: 0.002543 (l2_loss: 0.018302), acc: 1.000000, valid_acc: 1.000000
loss: 0.005431 (l2_loss: 0.017528), acc: 1.000000, valid_acc: 1.000000
loss: 0.006685 (l2_loss: 0.016332), acc: 1.000000, valid_acc: 1.000000
loss: 0.004768 (l2_loss: 0.015974), acc: 1.000000, valid_acc: 1.000000
loss: 0.001779 (l2_loss: 0.015566), acc: 1.000000, valid_acc: 1.000000
loss: 0.003594 (l2_loss: 0.015343), acc: 1.000000, valid_acc: 1.000000
loss: 0.000317 (l2_loss: 0.015074), acc: 1.000000, valid_acc: 1.000000
loss: 0.006234 (l2_loss: 0.015036), acc: 1.000000, valid_acc: 1.000000
loss: 0.004643 (l2_loss: 0.014743), acc: 1.000000, valid_acc: 1.000000
loss: 0.001808 (l2_loss: 0.014475), acc: 1.000000, valid_acc: 1.000000
loss: 0.002985 (l2_loss: 0.014410), acc: 1.000000, valid_acc: 1.000000
loss: 0.002916 (l2_loss: 0.014562), acc: 1.000000, valid_acc: 1.000000
loss: 0.004760 (l2_loss: 0.014703), acc: 1.000000, valid_acc: 1.000000
loss: 0.004579 (l2_loss: 0.014488), acc: 1.000000, valid_acc: 1.000000
loss: 0.004641 (l2_loss: 0.014598), acc: 1.000000, valid_acc: 1.000000
loss: 0.000814 (l2_loss: 0.014795), acc: 1.000000, valid_acc: 1.000000
loss: 0.003950 (l2_loss: 0.014562), acc: 1.000000, valid_acc: 1.000000
****************
acc: 0.9162
****************
loss: 0.689564 (l2_loss: 0.375743), acc: 0.593750, valid_acc: 0.953125
loss: 0.643836 (l2_loss: 0.374750), acc: 0.921875, valid_acc: 0.968750
loss: 0.607902 (l2_loss: 0.373764), acc: 0.984375, valid_acc: 1.000000
loss: 0.569485 (l2_loss: 0.372785), acc: 1.000000, valid_acc: 1.000000
loss: 0.533906 (l2_loss: 0.371811), acc: 0.968750, valid_acc: 1.000000
loss: 0.505231 (l2_loss: 0.370837), acc: 1.000000, valid_acc: 1.000000
loss: 0.457046 (l2_loss: 0.369865), acc: 1.000000, valid_acc: 1.000000
loss: 0.404256 (l2_loss: 0.368900), acc: 0.984375, valid_acc: 1.000000
loss: 0.387805 (l2_loss: 0.367942), acc: 0.984375, valid_acc: 1.000000
loss: 0.379324 (l2_loss: 0.366989), acc: 1.000000, valid_acc: 1.000000
loss: 0.041928 (l2_loss: 0.270297), acc: 0.984375, valid_acc: 1.000000
loss: 0.019498 (l2_loss: 0.186565), acc: 1.000000, valid_acc: 1.000000
