loss: 1.540146 (l2_loss: 0.007004), valid_loss: 1.370985
loss: 2.627800 (l2_loss: 0.006770), valid_loss: 1.983807
loss: 2.307517 (l2_loss: 0.006625), valid_loss: 1.849903
loss: 1.753791 (l2_loss: 0.006565), valid_loss: 1.787997
loss: 1.410665 (l2_loss: 0.006591), valid_loss: 1.601000
loss: 1.202758 (l2_loss: 0.006707), valid_loss: 2.448261
loss: 2.108665 (l2_loss: 0.006911), valid_loss: 1.854387
loss: 1.570341 (l2_loss: 0.007196), valid_loss: 1.415280
loss: 1.341087 (l2_loss: 0.007579), valid_loss: 1.188452
loss: 1.432187 (l2_loss: 0.008063), valid_loss: 0.940051
loss: 0.060730 (l2_loss: 0.043627), valid_loss: 0.033630
loss: 0.035646 (l2_loss: 0.030922), valid_loss: 0.041359
loss: 0.019321 (l2_loss: 0.026793), valid_loss: 0.019989
loss: 0.037922 (l2_loss: 0.025191), valid_loss: 0.026060
loss: 0.024328 (l2_loss: 0.024513), valid_loss: 0.027583
loss: 0.019254 (l2_loss: 0.022654), valid_loss: 0.022917
loss: 0.023964 (l2_loss: 0.022814), valid_loss: 0.016882
loss: 0.022230 (l2_loss: 0.021264), valid_loss: 0.022655
loss: 0.010286 (l2_loss: 0.020603), valid_loss: 0.018841
loss: 0.016290 (l2_loss: 0.019608), valid_loss: 0.015901
loss: 0.015865 (l2_loss: 0.019820), valid_loss: 0.016603
loss: 0.008845 (l2_loss: 0.018526), valid_loss: 0.012835
loss: 0.013193 (l2_loss: 0.018018), valid_loss: 0.015178
loss: 0.019402 (l2_loss: 0.017773), valid_loss: 0.014937
loss: 0.015337 (l2_loss: 0.017035), valid_loss: 0.013465
loss: 0.015903 (l2_loss: 0.016812), valid_loss: 0.014863
loss: 0.013441 (l2_loss: 0.016747), valid_loss: 0.014585
loss: 0.014318 (l2_loss: 0.016555), valid_loss: 0.013096
loss: 0.024669 (l2_loss: 0.015778), valid_loss: 0.009932
loss: 0.014628 (l2_loss: 0.016043), valid_loss: 0.009689
loss: 0.017576 (l2_loss: 0.015635), valid_loss: 0.009148
loss: 0.012061 (l2_loss: 0.015331), valid_loss: 0.012379
loss: 0.014980 (l2_loss: 0.015287), valid_loss: 0.014046
loss: 0.018514 (l2_loss: 0.014610), valid_loss: 0.011191
loss: 0.017596 (l2_loss: 0.014777), valid_loss: 0.013199
loss: 0.014600 (l2_loss: 0.014588), valid_loss: 0.019140
loss: 0.017152 (l2_loss: 0.014599), valid_loss: 0.012189
loss: 0.010871 (l2_loss: 0.014547), valid_loss: 0.012553
loss: 0.014677 (l2_loss: 0.014370), valid_loss: 0.008075
loss: 2.235594 (l2_loss: 0.007045), valid_loss: 1.841078
loss: 1.826304 (l2_loss: 0.006824), valid_loss: 2.200891
loss: 1.864428 (l2_loss: 0.006684), valid_loss: 2.173695
loss: 2.850606 (l2_loss: 0.006623), valid_loss: 1.716133
loss: 1.310863 (l2_loss: 0.006636), valid_loss: 2.284634
loss: 1.290734 (l2_loss: 0.006730), valid_loss: 0.995903
loss: 1.115647 (l2_loss: 0.006912), valid_loss: 1.169784
loss: 1.844011 (l2_loss: 0.007176), valid_loss: 1.737820
loss: 1.231069 (l2_loss: 0.007528), valid_loss: 1.215315
loss: 1.468930 (l2_loss: 0.007972), valid_loss: 1.094516
loss: 0.049106 (l2_loss: 0.043425), valid_loss: 0.051797
loss: 0.018485 (l2_loss: 0.032089), valid_loss: 0.039570
loss: 0.029800 (l2_loss: 0.028057), valid_loss: 0.023183
loss: 0.018168 (l2_loss: 0.025707), valid_loss: 0.026012
loss: 0.029670 (l2_loss: 0.023457), valid_loss: 0.028756
loss: 0.025487 (l2_loss: 0.023468), valid_loss: 0.014805
loss: 0.020929 (l2_loss: 0.022453), valid_loss: 0.021308
loss: 0.013814 (l2_loss: 0.021912), valid_loss: 0.020717
loss: 0.017638 (l2_loss: 0.021302), valid_loss: 0.022475
loss: 0.017323 (l2_loss: 0.020528), valid_loss: 0.023604
loss: 0.015155 (l2_loss: 0.019806), valid_loss: 0.022331
loss: 0.017989 (l2_loss: 0.019176), valid_loss: 0.015247
loss: 0.021964 (l2_loss: 0.018540), valid_loss: 0.022466
loss: 0.020077 (l2_loss: 0.018208), valid_loss: 0.011853
loss: 0.012803 (l2_loss: 0.018398), valid_loss: 0.009141
loss: 0.016230 (l2_loss: 0.018174), valid_loss: 0.012384
loss: 0.010636 (l2_loss: 0.017791), valid_loss: 0.008284
loss: 0.011408 (l2_loss: 0.016991), valid_loss: 0.015252
loss: 0.013867 (l2_loss: 0.017155), valid_loss: 0.021303
loss: 0.008871 (l2_loss: 0.016965), valid_loss: 0.009651
loss: 0.011839 (l2_loss: 0.016706), valid_loss: 0.015223
loss: 0.015472 (l2_loss: 0.016321), valid_loss: 0.012496
loss: 0.014668 (l2_loss: 0.016293), valid_loss: 0.014772
loss: 0.017687 (l2_loss: 0.015783), valid_loss: 0.020277
loss: 0.012005 (l2_loss: 0.015774), valid_loss: 0.010332
loss: 0.014440 (l2_loss: 0.015430), valid_loss: 0.016890
