loss: 1.974470 (l2_loss: 0.007006), valid_loss: 2.368007
loss: 2.056655 (l2_loss: 0.006763), valid_loss: 1.612993
loss: 1.579782 (l2_loss: 0.006596), valid_loss: 1.487992
loss: 2.199821 (l2_loss: 0.006503), valid_loss: 1.432283
loss: 1.044090 (l2_loss: 0.006486), valid_loss: 1.740520
loss: 2.064049 (l2_loss: 0.006549), valid_loss: 2.030398
loss: 1.262576 (l2_loss: 0.006687), valid_loss: 1.550878
loss: 1.414768 (l2_loss: 0.006909), valid_loss: 1.353942
loss: 1.279032 (l2_loss: 0.007218), valid_loss: 1.661178
loss: 1.046994 (l2_loss: 0.007618), valid_loss: 1.102075
loss: 0.049599 (l2_loss: 0.041956), valid_loss: 0.049961
loss: 0.020198 (l2_loss: 0.031243), valid_loss: 0.024244
loss: 0.022970 (l2_loss: 0.027768), valid_loss: 0.019752
loss: 0.019261 (l2_loss: 0.025784), valid_loss: 0.017860
loss: 0.015166 (l2_loss: 0.024572), valid_loss: 0.016267
loss: 0.015304 (l2_loss: 0.023742), valid_loss: 0.017320
loss: 0.012465 (l2_loss: 0.023114), valid_loss: 0.015641
loss: 0.014210 (l2_loss: 0.022366), valid_loss: 0.013079
loss: 0.011166 (l2_loss: 0.021347), valid_loss: 0.013443
loss: 0.018159 (l2_loss: 0.020289), valid_loss: 0.011368
loss: 0.014618 (l2_loss: 0.020340), valid_loss: 0.017033
loss: 0.018223 (l2_loss: 0.019224), valid_loss: 0.010675
loss: 0.019062 (l2_loss: 0.018637), valid_loss: 0.012606
loss: 0.014425 (l2_loss: 0.018504), valid_loss: 0.009571
loss: 0.011488 (l2_loss: 0.018117), valid_loss: 0.019344
loss: 0.015444 (l2_loss: 0.017756), valid_loss: 0.009647
loss: 0.015097 (l2_loss: 0.017676), valid_loss: 0.011001
loss: 0.007076 (l2_loss: 0.017115), valid_loss: 0.017582
loss: 0.009866 (l2_loss: 0.016839), valid_loss: 0.009753
loss: 0.009626 (l2_loss: 0.016887), valid_loss: 0.009556
loss: 0.015753 (l2_loss: 0.016453), valid_loss: 0.012489
loss: 0.009300 (l2_loss: 0.016500), valid_loss: 0.009580
loss: 0.011919 (l2_loss: 0.016279), valid_loss: 0.006174
loss: 0.009425 (l2_loss: 0.015943), valid_loss: 0.012486
loss: 0.008010 (l2_loss: 0.015863), valid_loss: 0.009880
loss: 0.011405 (l2_loss: 0.015531), valid_loss: 0.016423
loss: 0.010532 (l2_loss: 0.015737), valid_loss: 0.016865
loss: 0.006433 (l2_loss: 0.015780), valid_loss: 0.009655
loss: 0.011682 (l2_loss: 0.015465), valid_loss: 0.008168
loss: 1.637130 (l2_loss: 0.007054), valid_loss: 2.468155
loss: 2.828428 (l2_loss: 0.006867), valid_loss: 2.877699
loss: 2.156392 (l2_loss: 0.006766), valid_loss: 1.870907
loss: 1.878438 (l2_loss: 0.006745), valid_loss: 1.987576
loss: 1.394533 (l2_loss: 0.006806), valid_loss: 2.075527
loss: 1.600140 (l2_loss: 0.006953), valid_loss: 1.589666
loss: 1.367246 (l2_loss: 0.007186), valid_loss: 1.201502
loss: 1.627633 (l2_loss: 0.007508), valid_loss: 0.964217
loss: 2.005014 (l2_loss: 0.007924), valid_loss: 0.930033
loss: 1.048337 (l2_loss: 0.008424), valid_loss: 1.412066
loss: 0.056411 (l2_loss: 0.041729), valid_loss: 0.052326
loss: 0.026975 (l2_loss: 0.031519), valid_loss: 0.029056
loss: 0.020827 (l2_loss: 0.027026), valid_loss: 0.023093
loss: 0.025623 (l2_loss: 0.025434), valid_loss: 0.022956
loss: 0.035850 (l2_loss: 0.024585), valid_loss: 0.019229
loss: 0.024125 (l2_loss: 0.022899), valid_loss: 0.016552
loss: 0.022444 (l2_loss: 0.022337), valid_loss: 0.013754
loss: 0.011719 (l2_loss: 0.022221), valid_loss: 0.016190
loss: 0.010699 (l2_loss: 0.021428), valid_loss: 0.011361
loss: 0.024216 (l2_loss: 0.021542), valid_loss: 0.017643
loss: 0.017096 (l2_loss: 0.020577), valid_loss: 0.011391
loss: 0.010269 (l2_loss: 0.019788), valid_loss: 0.024991
loss: 0.011600 (l2_loss: 0.019460), valid_loss: 0.015179
loss: 0.019872 (l2_loss: 0.018883), valid_loss: 0.017995
loss: 0.018076 (l2_loss: 0.018746), valid_loss: 0.008041
loss: 0.017412 (l2_loss: 0.018423), valid_loss: 0.009933
loss: 0.010674 (l2_loss: 0.018479), valid_loss: 0.012388
loss: 0.016863 (l2_loss: 0.017772), valid_loss: 0.016327
loss: 0.009861 (l2_loss: 0.017932), valid_loss: 0.010408
loss: 0.007098 (l2_loss: 0.017779), valid_loss: 0.013890
loss: 0.009048 (l2_loss: 0.017731), valid_loss: 0.016378
loss: 0.015052 (l2_loss: 0.017343), valid_loss: 0.011118
loss: 0.013397 (l2_loss: 0.016888), valid_loss: 0.009654
loss: 0.015261 (l2_loss: 0.016697), valid_loss: 0.012421
loss: 0.006958 (l2_loss: 0.016933), valid_loss: 0.011365
loss: 0.008832 (l2_loss: 0.017114), valid_loss: 0.006813
loss: 0.011818 (l2_loss: 0.017060), valid_loss: 0.010015
loss: 0.015494 (l2_loss: 0.016577), valid_loss: 0.013968
loss: 0.011788 (l2_loss: 0.016628), valid_loss: 0.010032
loss: 1.934121 (l2_loss: 0.007019), valid_loss: 1.276419
loss: 2.378040 (l2_loss: 0.006765), valid_loss: 1.538038
loss: 1.676402 (l2_loss: 0.006604), valid_loss: 2.181026
loss: 2.057323 (l2_loss: 0.006518), valid_loss: 1.548376
loss: 1.487706 (l2_loss: 0.006514), valid_loss: 1.507321
loss: 1.886290 (l2_loss: 0.006594), valid_loss: 1.932937
loss: 1.622971 (l2_loss: 0.006758), valid_loss: 1.874919
loss: 1.194949 (l2_loss: 0.007014), valid_loss: 1.745433
loss: 1.629987 (l2_loss: 0.007363), valid_loss: 1.277307
loss: 0.432907 (l2_loss: 0.007806), valid_loss: 1.608603
loss: 0.036443 (l2_loss: 0.041836), valid_loss: 0.048431
loss: 0.019611 (l2_loss: 0.032266), valid_loss: 0.020277
loss: 0.025803 (l2_loss: 0.028076), valid_loss: 0.029892
loss: 0.028746 (l2_loss: 0.025447), valid_loss: 0.018131
loss: 0.020482 (l2_loss: 0.024453), valid_loss: 0.020587
loss: 0.018482 (l2_loss: 0.024061), valid_loss: 0.017261
loss: 0.013750 (l2_loss: 0.023546), valid_loss: 0.021052
loss: 0.018811 (l2_loss: 0.022203), valid_loss: 0.012442
loss: 0.017447 (l2_loss: 0.021801), valid_loss: 0.015043
loss: 0.014573 (l2_loss: 0.021389), valid_loss: 0.011746
loss: 0.011586 (l2_loss: 0.020842), valid_loss: 0.011235
loss: 0.010253 (l2_loss: 0.020249), valid_loss: 0.011011
loss: 0.011973 (l2_loss: 0.020216), valid_loss: 0.016125
loss: 0.011553 (l2_loss: 0.019752), valid_loss: 0.016627
loss: 0.010630 (l2_loss: 0.018845), valid_loss: 0.009997
loss: 0.019149 (l2_loss: 0.018966), valid_loss: 0.007746
loss: 0.009977 (l2_loss: 0.018533), valid_loss: 0.009088
loss: 0.010471 (l2_loss: 0.018252), valid_loss: 0.013397
loss: 0.008647 (l2_loss: 0.018146), valid_loss: 0.020547
loss: 0.010117 (l2_loss: 0.017989), valid_loss: 0.009761
loss: 0.014420 (l2_loss: 0.017541), valid_loss: 0.012429
