loss: 4.488377 (l2_loss: 0.006840), valid_loss: 4.825537
loss: 5.075122 (l2_loss: 0.006466), valid_loss: 3.437391
loss: 4.631429 (l2_loss: 0.006207), valid_loss: 4.390654
loss: 6.343722 (l2_loss: 0.006031), valid_loss: 4.664043
loss: 4.190295 (l2_loss: 0.005931), valid_loss: 4.184439
loss: 4.314953 (l2_loss: 0.005914), valid_loss: 4.086586
loss: 3.658075 (l2_loss: 0.005979), valid_loss: 2.740698
loss: 3.501449 (l2_loss: 0.006129), valid_loss: 3.294755
loss: 3.437863 (l2_loss: 0.006363), valid_loss: 3.069111
loss: 3.708891 (l2_loss: 0.006683), valid_loss: 2.843191
loss: 0.442252 (l2_loss: 0.028184), valid_loss: 0.348842
loss: 0.164544 (l2_loss: 0.042879), valid_loss: 0.159628
loss: 0.149045 (l2_loss: 0.038755), valid_loss: 0.090127
loss: 0.090015 (l2_loss: 0.032093), valid_loss: 0.074755
loss: 0.081313 (l2_loss: 0.030294), valid_loss: 0.076477
loss: 0.096483 (l2_loss: 0.027774), valid_loss: 0.060254
loss: 0.070024 (l2_loss: 0.026139), valid_loss: 0.083231
loss: 0.073353 (l2_loss: 0.024831), valid_loss: 0.077174
loss: 0.067160 (l2_loss: 0.024013), valid_loss: 0.045395
loss: 0.064005 (l2_loss: 0.023645), valid_loss: 0.072855
loss: 0.070816 (l2_loss: 0.021944), valid_loss: 0.074216
loss: 0.080275 (l2_loss: 0.021822), valid_loss: 0.069814
loss: 0.050931 (l2_loss: 0.021388), valid_loss: 0.050247
loss: 0.063987 (l2_loss: 0.021761), valid_loss: 0.109943
loss: 0.065268 (l2_loss: 0.020852), valid_loss: 0.082545
loss: 0.057421 (l2_loss: 0.020892), valid_loss: 0.047473
loss: 0.091851 (l2_loss: 0.020388), valid_loss: 0.063979
loss: 0.058725 (l2_loss: 0.020349), valid_loss: 0.102390
loss: 0.065249 (l2_loss: 0.020483), valid_loss: 0.062677
loss: 0.110185 (l2_loss: 0.020504), valid_loss: 0.070633
loss: 0.074422 (l2_loss: 0.019865), valid_loss: 0.056848
loss: 0.040182 (l2_loss: 0.020209), valid_loss: 0.060079
loss: 0.070296 (l2_loss: 0.019710), valid_loss: 0.062335
loss: 0.065057 (l2_loss: 0.019976), valid_loss: 0.099911
loss: 0.077407 (l2_loss: 0.019783), valid_loss: 0.081188
loss: 0.081994 (l2_loss: 0.019832), valid_loss: 0.066804
loss: 0.083425 (l2_loss: 0.019690), valid_loss: 0.058354
loss: 0.047025 (l2_loss: 0.019591), valid_loss: 0.065781
loss: 0.053089 (l2_loss: 0.019845), valid_loss: 0.088415
loss: 4.553579 (l2_loss: 0.006949), valid_loss: 3.855783
loss: 3.418444 (l2_loss: 0.006621), valid_loss: 4.590809
