loss: 2.917040 (l2_loss: 0.009427), valid_loss: 2.533261
loss: 3.891018 (l2_loss: 0.008884), valid_loss: 3.364531
loss: 3.626442 (l2_loss: 0.008467), valid_loss: 3.163947
loss: 2.818016 (l2_loss: 0.008177), valid_loss: 3.239201
loss: 2.680676 (l2_loss: 0.008012), valid_loss: 2.741897
loss: 1.952406 (l2_loss: 0.007972), valid_loss: 4.040944
loss: 3.453738 (l2_loss: 0.008052), valid_loss: 3.157006
loss: 2.780742 (l2_loss: 0.008234), valid_loss: 2.345654
loss: 2.497383 (l2_loss: 0.008537), valid_loss: 2.113869
loss: 2.170056 (l2_loss: 0.008960), valid_loss: 1.647457
loss: 0.513217 (l2_loss: 0.035209), valid_loss: 0.408887
loss: 0.161297 (l2_loss: 0.047336), valid_loss: 0.302264
loss: 0.142167 (l2_loss: 0.054817), valid_loss: 0.211643
loss: 0.100251 (l2_loss: 0.053174), valid_loss: 0.073273
loss: 0.104325 (l2_loss: 0.050409), valid_loss: 0.085398
loss: 0.082407 (l2_loss: 0.044886), valid_loss: 0.090840
loss: 0.064250 (l2_loss: 0.044410), valid_loss: 0.067361
loss: 0.070398 (l2_loss: 0.041140), valid_loss: 0.074634
loss: 0.059541 (l2_loss: 0.039448), valid_loss: 0.047176
loss: 0.066227 (l2_loss: 0.038252), valid_loss: 0.075755
loss: 0.055795 (l2_loss: 0.038003), valid_loss: 0.048399
loss: 0.035173 (l2_loss: 0.035791), valid_loss: 0.043650
loss: 0.035318 (l2_loss: 0.035080), valid_loss: 0.042517
loss: 0.089080 (l2_loss: 0.032886), valid_loss: 0.084133
loss: 0.073648 (l2_loss: 0.032981), valid_loss: 0.055330
loss: 0.055845 (l2_loss: 0.033720), valid_loss: 0.041484
loss: 0.052543 (l2_loss: 0.032435), valid_loss: 0.042262
loss: 0.055745 (l2_loss: 0.032544), valid_loss: 0.049627
loss: 0.051930 (l2_loss: 0.031913), valid_loss: 0.044542
loss: 0.060645 (l2_loss: 0.032489), valid_loss: 0.064923
loss: 0.097394 (l2_loss: 0.031535), valid_loss: 0.042955
loss: 0.047880 (l2_loss: 0.031519), valid_loss: 0.031000
loss: 0.034831 (l2_loss: 0.031757), valid_loss: 0.056680
loss: 0.035001 (l2_loss: 0.031651), valid_loss: 0.033908
loss: 0.080619 (l2_loss: 0.031750), valid_loss: 0.044205
loss: 0.037245 (l2_loss: 0.031451), valid_loss: 0.056382
loss: 0.045776 (l2_loss: 0.031653), valid_loss: 0.044854
loss: 0.046417 (l2_loss: 0.031520), valid_loss: 0.035076
loss: 0.065768 (l2_loss: 0.031806), valid_loss: 0.029753
loss: 3.564497 (l2_loss: 0.009440), valid_loss: 3.319429
loss: 3.351796 (l2_loss: 0.008929), valid_loss: 3.681095
loss: 2.978682 (l2_loss: 0.008534), valid_loss: 3.584748
loss: 4.552844 (l2_loss: 0.008255), valid_loss: 3.103003
loss: 2.398437 (l2_loss: 0.008085), valid_loss: 3.787590
loss: 2.452969 (l2_loss: 0.008030), valid_loss: 2.187507
loss: 1.896141 (l2_loss: 0.008091), valid_loss: 1.982458
loss: 2.811008 (l2_loss: 0.008264), valid_loss: 3.180993
loss: 2.136556 (l2_loss: 0.008544), valid_loss: 2.449517
loss: 2.338631 (l2_loss: 0.008941), valid_loss: 1.903666
loss: 0.516757 (l2_loss: 0.037795), valid_loss: 0.431082
loss: 0.157136 (l2_loss: 0.049383), valid_loss: 0.181656
loss: 0.087862 (l2_loss: 0.054957), valid_loss: 0.087003
loss: 0.088862 (l2_loss: 0.051383), valid_loss: 0.089479
loss: 0.075328 (l2_loss: 0.046881), valid_loss: 0.061845
loss: 0.064379 (l2_loss: 0.042185), valid_loss: 0.040947
loss: 0.039883 (l2_loss: 0.039112), valid_loss: 0.034271
loss: 0.050847 (l2_loss: 0.036008), valid_loss: 0.030603
loss: 0.051073 (l2_loss: 0.034421), valid_loss: 0.033375
loss: 0.032343 (l2_loss: 0.032798), valid_loss: 0.049141
loss: 0.030917 (l2_loss: 0.032108), valid_loss: 0.036838
loss: 0.037625 (l2_loss: 0.030534), valid_loss: 0.031429
loss: 0.036545 (l2_loss: 0.029441), valid_loss: 0.034247
loss: 0.050965 (l2_loss: 0.028744), valid_loss: 0.029568
loss: 0.034570 (l2_loss: 0.028413), valid_loss: 0.030099
loss: 0.044442 (l2_loss: 0.027171), valid_loss: 0.027548
loss: 0.026431 (l2_loss: 0.026864), valid_loss: 0.040278
loss: 0.020024 (l2_loss: 0.026043), valid_loss: 0.041988
loss: 0.031429 (l2_loss: 0.025773), valid_loss: 0.037497
loss: 0.022254 (l2_loss: 0.025408), valid_loss: 0.029045
loss: 0.028222 (l2_loss: 0.025033), valid_loss: 0.036267
loss: 0.037651 (l2_loss: 0.024562), valid_loss: 0.031274
loss: 0.021417 (l2_loss: 0.024438), valid_loss: 0.030652
loss: 0.078577 (l2_loss: 0.023433), valid_loss: 0.046276
loss: 0.020600 (l2_loss: 0.023737), valid_loss: 0.020386
loss: 0.021496 (l2_loss: 0.023471), valid_loss: 0.025872
loss: 0.032100 (l2_loss: 0.022995), valid_loss: 0.024126
loss: 0.014843 (l2_loss: 0.022970), valid_loss: 0.022359
loss: 0.044023 (l2_loss: 0.022534), valid_loss: 0.018201
loss: 4.423348 (l2_loss: 0.009391), valid_loss: 2.826426
loss: 3.628082 (l2_loss: 0.008883), valid_loss: 2.455529
loss: 2.027587 (l2_loss: 0.008492), valid_loss: 3.666512
loss: 2.679430 (l2_loss: 0.008219), valid_loss: 2.823041
loss: 2.187545 (l2_loss: 0.008063), valid_loss: 3.176036
loss: 2.897738 (l2_loss: 0.008024), valid_loss: 2.440733
loss: 2.629432 (l2_loss: 0.008091), valid_loss: 2.339067
loss: 2.087718 (l2_loss: 0.008275), valid_loss: 2.512535
loss: 2.197322 (l2_loss: 0.008576), valid_loss: 1.723042
loss: 2.250847 (l2_loss: 0.008995), valid_loss: 1.538481
loss: 0.334960 (l2_loss: 0.034468), valid_loss: 0.447629
loss: 0.238430 (l2_loss: 0.048009), valid_loss: 0.210824
loss: 0.140443 (l2_loss: 0.056372), valid_loss: 0.124670
loss: 0.064142 (l2_loss: 0.052651), valid_loss: 0.046793
loss: 0.059930 (l2_loss: 0.046712), valid_loss: 0.069875
loss: 0.079473 (l2_loss: 0.043391), valid_loss: 0.061071
loss: 0.064191 (l2_loss: 0.039697), valid_loss: 0.044807
loss: 0.044604 (l2_loss: 0.037769), valid_loss: 0.036577
loss: 0.038433 (l2_loss: 0.035526), valid_loss: 0.039024
loss: 0.022655 (l2_loss: 0.033507), valid_loss: 0.101034
loss: 0.035139 (l2_loss: 0.032854), valid_loss: 0.050851
loss: 0.024739 (l2_loss: 0.031469), valid_loss: 0.039290
loss: 0.027170 (l2_loss: 0.030438), valid_loss: 0.039554
loss: 0.038584 (l2_loss: 0.029530), valid_loss: 0.051595
loss: 0.044611 (l2_loss: 0.028548), valid_loss: 0.030369
loss: 0.033400 (l2_loss: 0.028195), valid_loss: 0.025972
loss: 0.036619 (l2_loss: 0.027598), valid_loss: 0.047597
loss: 0.040607 (l2_loss: 0.026817), valid_loss: 0.022586
loss: 0.033980 (l2_loss: 0.026549), valid_loss: 0.028536
loss: 0.019185 (l2_loss: 0.025895), valid_loss: 0.033528
loss: 0.026723 (l2_loss: 0.025490), valid_loss: 0.042284
loss: 0.038095 (l2_loss: 0.025305), valid_loss: 0.016019
loss: 0.032151 (l2_loss: 0.024991), valid_loss: 0.040960
loss: 0.034969 (l2_loss: 0.024474), valid_loss: 0.035463
loss: 0.032938 (l2_loss: 0.024405), valid_loss: 0.025888
loss: 0.032328 (l2_loss: 0.023615), valid_loss: 0.035167
loss: 0.018828 (l2_loss: 0.023495), valid_loss: 0.030360
loss: 0.022465 (l2_loss: 0.023290), valid_loss: 0.020122
loss: 0.030983 (l2_loss: 0.023157), valid_loss: 0.018675
[[1.         0.94797183]
 [0.94797183 1.        ]]
0.9479718325782233
