loss: 2.899066 (l2_loss: 0.006846), valid_loss: 3.696403
loss: 4.011342 (l2_loss: 0.006405), valid_loss: 3.385305
loss: 3.893803 (l2_loss: 0.006099), valid_loss: 3.077943
loss: 3.577341 (l2_loss: 0.005878), valid_loss: 3.305054
loss: 3.839208 (l2_loss: 0.005742), valid_loss: 3.261156
loss: 3.271850 (l2_loss: 0.005694), valid_loss: 2.672703
loss: 3.758548 (l2_loss: 0.005733), valid_loss: 2.702781
loss: 2.552926 (l2_loss: 0.005858), valid_loss: 3.016141
loss: 2.760180 (l2_loss: 0.006073), valid_loss: 3.110143
loss: 2.983904 (l2_loss: 0.006379), valid_loss: 3.152642
loss: 0.249608 (l2_loss: 0.028216), valid_loss: 0.299466
loss: 0.079283 (l2_loss: 0.049341), valid_loss: 0.074347
loss: 0.090512 (l2_loss: 0.042878), valid_loss: 0.073073
loss: 0.085839 (l2_loss: 0.037471), valid_loss: 0.065619
loss: 0.078504 (l2_loss: 0.033998), valid_loss: 0.065219
loss: 0.047698 (l2_loss: 0.030992), valid_loss: 0.090575
loss: 0.050129 (l2_loss: 0.029603), valid_loss: 0.070789
loss: 0.062873 (l2_loss: 0.028551), valid_loss: 0.058823
loss: 0.040844 (l2_loss: 0.026951), valid_loss: 0.064398
loss: 0.057106 (l2_loss: 0.026784), valid_loss: 0.077027
loss: 0.136134 (l2_loss: 0.026566), valid_loss: 0.082914
loss: 0.081587 (l2_loss: 0.024811), valid_loss: 0.097941
loss: 0.109216 (l2_loss: 0.024326), valid_loss: 0.047688
loss: 0.106187 (l2_loss: 0.023604), valid_loss: 0.070217
loss: 0.061780 (l2_loss: 0.023446), valid_loss: 0.085410
loss: 0.068122 (l2_loss: 0.022823), valid_loss: 0.044118
loss: 0.063007 (l2_loss: 0.022237), valid_loss: 0.070809
loss: 0.067555 (l2_loss: 0.022126), valid_loss: 0.081258
loss: 0.056307 (l2_loss: 0.021454), valid_loss: 0.057819
loss: 0.064986 (l2_loss: 0.021668), valid_loss: 0.073015
loss: 0.061581 (l2_loss: 0.021200), valid_loss: 0.053088
loss: 0.041511 (l2_loss: 0.020612), valid_loss: 0.094463
loss: 0.076199 (l2_loss: 0.020502), valid_loss: 0.043217
loss: 0.060846 (l2_loss: 0.020893), valid_loss: 0.093456
loss: 0.060269 (l2_loss: 0.020675), valid_loss: 0.072160
loss: 0.063554 (l2_loss: 0.020106), valid_loss: 0.090297
loss: 0.053110 (l2_loss: 0.020406), valid_loss: 0.043924
loss: 0.064447 (l2_loss: 0.020123), valid_loss: 0.042974
loss: 0.052545 (l2_loss: 0.020340), valid_loss: 0.055016
loss: 3.218779 (l2_loss: 0.006904), valid_loss: 4.332890
loss: 4.104186 (l2_loss: 0.006565), valid_loss: 4.043201
loss: 3.375688 (l2_loss: 0.006349), valid_loss: 2.442772
loss: 2.188014 (l2_loss: 0.006219), valid_loss: 3.601427
loss: 2.875986 (l2_loss: 0.006172), valid_loss: 3.508762
loss: 3.208947 (l2_loss: 0.006213), valid_loss: 3.013856
loss: 2.804637 (l2_loss: 0.006343), valid_loss: 3.198948
loss: 3.015790 (l2_loss: 0.006567), valid_loss: 3.237268
loss: 2.445439 (l2_loss: 0.006876), valid_loss: 2.179687
loss: 1.859240 (l2_loss: 0.007283), valid_loss: 2.306225
loss: 0.317448 (l2_loss: 0.029163), valid_loss: 0.221200
loss: 0.108540 (l2_loss: 0.048107), valid_loss: 0.102615
loss: 0.081282 (l2_loss: 0.040759), valid_loss: 0.093693
loss: 0.070096 (l2_loss: 0.034451), valid_loss: 0.068520
loss: 0.090924 (l2_loss: 0.031933), valid_loss: 0.056502
loss: 0.064470 (l2_loss: 0.029697), valid_loss: 0.054888
loss: 0.074041 (l2_loss: 0.028629), valid_loss: 0.062755
loss: 0.031413 (l2_loss: 0.027588), valid_loss: 0.096811
loss: 0.085688 (l2_loss: 0.025722), valid_loss: 0.048929
loss: 0.085768 (l2_loss: 0.025573), valid_loss: 0.125845
loss: 0.066060 (l2_loss: 0.024813), valid_loss: 0.080064
loss: 0.067664 (l2_loss: 0.025033), valid_loss: 0.104995
loss: 0.058513 (l2_loss: 0.024194), valid_loss: 0.056857
loss: 0.067904 (l2_loss: 0.024475), valid_loss: 0.084065
loss: 0.078656 (l2_loss: 0.023246), valid_loss: 0.060754
loss: 0.079357 (l2_loss: 0.022829), valid_loss: 0.115517
loss: 0.043041 (l2_loss: 0.022146), valid_loss: 0.047807
loss: 0.053427 (l2_loss: 0.022483), valid_loss: 0.094333
loss: 0.058770 (l2_loss: 0.021806), valid_loss: 0.072774
loss: 0.106061 (l2_loss: 0.022547), valid_loss: 0.052168
loss: 0.073949 (l2_loss: 0.021856), valid_loss: 0.072243
loss: 0.103507 (l2_loss: 0.021901), valid_loss: 0.068133
loss: 0.109714 (l2_loss: 0.021225), valid_loss: 0.073421
loss: 0.097630 (l2_loss: 0.021722), valid_loss: 0.062768
loss: 0.047132 (l2_loss: 0.021178), valid_loss: 0.083062
loss: 0.126885 (l2_loss: 0.021401), valid_loss: 0.066286
loss: 0.065067 (l2_loss: 0.020933), valid_loss: 0.065632
loss: 0.083822 (l2_loss: 0.020940), valid_loss: 0.057934
loss: 0.058836 (l2_loss: 0.020463), valid_loss: 0.084095
loss: 2.966724 (l2_loss: 0.006857), valid_loss: 2.485744
loss: 4.183143 (l2_loss: 0.006444), valid_loss: 3.469197
loss: 4.321002 (l2_loss: 0.006168), valid_loss: 3.997542
loss: 4.309379 (l2_loss: 0.005983), valid_loss: 3.218648
loss: 4.183519 (l2_loss: 0.005885), valid_loss: 2.950844
loss: 3.592688 (l2_loss: 0.005878), valid_loss: 3.203295
loss: 2.352856 (l2_loss: 0.005962), valid_loss: 2.364172
loss: 2.833868 (l2_loss: 0.006141), valid_loss: 3.354808
loss: 3.302152 (l2_loss: 0.006412), valid_loss: 2.708098
loss: 2.415461 (l2_loss: 0.006772), valid_loss: 2.271095
loss: 0.223095 (l2_loss: 0.030819), valid_loss: 0.184553
loss: 0.088900 (l2_loss: 0.049107), valid_loss: 0.106084
loss: 0.072884 (l2_loss: 0.041711), valid_loss: 0.075511
loss: 0.075354 (l2_loss: 0.034735), valid_loss: 0.096411
loss: 0.102644 (l2_loss: 0.030470), valid_loss: 0.102073
loss: 0.097700 (l2_loss: 0.030732), valid_loss: 0.074958
loss: 0.080579 (l2_loss: 0.028825), valid_loss: 0.086847
loss: 0.095209 (l2_loss: 0.027036), valid_loss: 0.070570
loss: 0.078816 (l2_loss: 0.026324), valid_loss: 0.067333
loss: 0.059976 (l2_loss: 0.025439), valid_loss: 0.083336
loss: 0.090459 (l2_loss: 0.024199), valid_loss: 0.076305
loss: 0.083201 (l2_loss: 0.023711), valid_loss: 0.066657
loss: 0.063451 (l2_loss: 0.023964), valid_loss: 0.067543
loss: 0.068687 (l2_loss: 0.023542), valid_loss: 0.070622
loss: 0.046881 (l2_loss: 0.022915), valid_loss: 0.069240
loss: 0.090382 (l2_loss: 0.022789), valid_loss: 0.075121
loss: 0.095209 (l2_loss: 0.022092), valid_loss: 0.073899
loss: 0.063830 (l2_loss: 0.021908), valid_loss: 0.066373
loss: 0.062502 (l2_loss: 0.021739), valid_loss: 0.056605
loss: 0.047928 (l2_loss: 0.022405), valid_loss: 0.051196
loss: 0.055503 (l2_loss: 0.021202), valid_loss: 0.071118
loss: 0.055794 (l2_loss: 0.021708), valid_loss: 0.069193
loss: 0.067107 (l2_loss: 0.021465), valid_loss: 0.064516
loss: 0.040121 (l2_loss: 0.021220), valid_loss: 0.066819
loss: 0.075024 (l2_loss: 0.021540), valid_loss: 0.096999
loss: 0.057495 (l2_loss: 0.021161), valid_loss: 0.055923
loss: 0.089276 (l2_loss: 0.020848), valid_loss: 0.084152
loss: 0.065124 (l2_loss: 0.021040), valid_loss: 0.047011
loss: 0.056170 (l2_loss: 0.021167), valid_loss: 0.092498
[[1.         0.96128331]
 [0.96128331 1.        ]]
0.9612833127857726
