loss: 2.993076 (l2_loss: 0.006887), valid_loss: 4.269002
loss: 4.611026 (l2_loss: 0.006498), valid_loss: 5.196941
loss: 3.622428 (l2_loss: 0.006243), valid_loss: 2.939642
loss: 2.768605 (l2_loss: 0.006062), valid_loss: 3.433254
loss: 2.908484 (l2_loss: 0.005957), valid_loss: 3.292176
loss: 2.985279 (l2_loss: 0.005932), valid_loss: 2.891547
loss: 3.970058 (l2_loss: 0.005989), valid_loss: 2.635121
loss: 3.409382 (l2_loss: 0.006121), valid_loss: 3.673417
loss: 3.002661 (l2_loss: 0.006339), valid_loss: 2.820436
loss: 2.977224 (l2_loss: 0.006648), valid_loss: 2.602900
loss: 0.221431 (l2_loss: 0.032575), valid_loss: 0.221391
loss: 0.091817 (l2_loss: 0.038986), valid_loss: 0.042453
loss: 0.068107 (l2_loss: 0.032722), valid_loss: 0.066181
loss: 0.068526 (l2_loss: 0.028642), valid_loss: 0.057965
loss: 0.059866 (l2_loss: 0.026518), valid_loss: 0.077695
loss: 0.053140 (l2_loss: 0.025121), valid_loss: 0.073051
loss: 0.095286 (l2_loss: 0.023747), valid_loss: 0.042364
loss: 0.058236 (l2_loss: 0.023071), valid_loss: 0.056019
loss: 0.067218 (l2_loss: 0.021211), valid_loss: 0.079520
loss: 0.067418 (l2_loss: 0.021815), valid_loss: 0.045776
loss: 0.068531 (l2_loss: 0.020637), valid_loss: 0.087914
loss: 0.075010 (l2_loss: 0.020333), valid_loss: 0.067034
loss: 0.076461 (l2_loss: 0.020087), valid_loss: 0.057958
loss: 0.072732 (l2_loss: 0.019658), valid_loss: 0.046778
loss: 0.042633 (l2_loss: 0.019441), valid_loss: 0.052417
loss: 0.051791 (l2_loss: 0.018456), valid_loss: 0.069071
loss: 0.040477 (l2_loss: 0.019006), valid_loss: 0.044600
loss: 0.056912 (l2_loss: 0.018879), valid_loss: 0.041676
loss: 0.041528 (l2_loss: 0.018906), valid_loss: 0.068720
loss: 0.072995 (l2_loss: 0.018601), valid_loss: 0.052944
loss: 0.051265 (l2_loss: 0.018659), valid_loss: 0.046205
loss: 0.060464 (l2_loss: 0.018819), valid_loss: 0.055964
loss: 0.069313 (l2_loss: 0.018480), valid_loss: 0.053220
loss: 0.060413 (l2_loss: 0.019004), valid_loss: 0.057414
loss: 0.047027 (l2_loss: 0.018757), valid_loss: 0.051583
loss: 0.083177 (l2_loss: 0.018892), valid_loss: 0.064361
loss: 0.036762 (l2_loss: 0.018947), valid_loss: 0.053656
loss: 0.048780 (l2_loss: 0.018889), valid_loss: 0.054110
loss: 0.058404 (l2_loss: 0.019174), valid_loss: 0.051473
loss: 4.614789 (l2_loss: 0.006876), valid_loss: 4.165790
loss: 4.186590 (l2_loss: 0.006566), valid_loss: 4.073540
loss: 2.824058 (l2_loss: 0.006347), valid_loss: 3.468053
loss: 3.627339 (l2_loss: 0.006195), valid_loss: 3.605156
loss: 2.895540 (l2_loss: 0.006117), valid_loss: 3.139591
loss: 3.271807 (l2_loss: 0.006115), valid_loss: 3.427531
loss: 3.012585 (l2_loss: 0.006187), valid_loss: 2.986551
loss: 2.671837 (l2_loss: 0.006339), valid_loss: 3.057567
loss: 3.447986 (l2_loss: 0.006575), valid_loss: 2.210021
loss: 2.060264 (l2_loss: 0.006884), valid_loss: 2.486772
loss: 0.137633 (l2_loss: 0.028732), valid_loss: 0.266916
loss: 0.079706 (l2_loss: 0.039686), valid_loss: 0.079421
loss: 0.059300 (l2_loss: 0.034616), valid_loss: 0.086309
loss: 0.062555 (l2_loss: 0.030952), valid_loss: 0.078073
loss: 0.041153 (l2_loss: 0.027425), valid_loss: 0.083446
loss: 0.072006 (l2_loss: 0.024938), valid_loss: 0.062809
loss: 0.053815 (l2_loss: 0.024315), valid_loss: 0.098330
loss: 0.090903 (l2_loss: 0.022726), valid_loss: 0.070562
loss: 0.071798 (l2_loss: 0.022498), valid_loss: 0.063906
loss: 0.046122 (l2_loss: 0.021600), valid_loss: 0.072003
loss: 0.068254 (l2_loss: 0.020651), valid_loss: 0.085893
loss: 0.073182 (l2_loss: 0.020730), valid_loss: 0.080890
loss: 0.080871 (l2_loss: 0.020419), valid_loss: 0.071167
loss: 0.104665 (l2_loss: 0.019582), valid_loss: 0.099432
loss: 0.083235 (l2_loss: 0.018934), valid_loss: 0.067539
loss: 0.075097 (l2_loss: 0.018347), valid_loss: 0.064811
loss: 0.077815 (l2_loss: 0.018983), valid_loss: 0.082838
loss: 0.055436 (l2_loss: 0.018276), valid_loss: 0.091308
loss: 0.058809 (l2_loss: 0.018109), valid_loss: 0.094514
loss: 0.070609 (l2_loss: 0.017616), valid_loss: 0.060780
loss: 0.083041 (l2_loss: 0.017346), valid_loss: 0.075537
loss: 0.066281 (l2_loss: 0.017785), valid_loss: 0.097499
loss: 0.071503 (l2_loss: 0.017697), valid_loss: 0.081018
loss: 0.059857 (l2_loss: 0.017774), valid_loss: 0.064831
loss: 0.058292 (l2_loss: 0.018041), valid_loss: 0.040362
loss: 0.055434 (l2_loss: 0.017204), valid_loss: 0.090215
loss: 0.066131 (l2_loss: 0.017700), valid_loss: 0.051112
loss: 0.062377 (l2_loss: 0.017883), valid_loss: 0.066237
loss: 0.064048 (l2_loss: 0.017053), valid_loss: 0.075716
loss: 4.322689 (l2_loss: 0.006878), valid_loss: 5.108683
loss: 3.545329 (l2_loss: 0.006532), valid_loss: 3.483374
loss: 4.267043 (l2_loss: 0.006279), valid_loss: 3.554732
loss: 4.199764 (l2_loss: 0.006111), valid_loss: 3.292221
loss: 4.779736 (l2_loss: 0.006027), valid_loss: 3.407137
loss: 3.465477 (l2_loss: 0.006021), valid_loss: 3.867201
loss: 2.702470 (l2_loss: 0.006104), valid_loss: 1.954542
loss: 2.889272 (l2_loss: 0.006274), valid_loss: 3.202068
loss: 2.001469 (l2_loss: 0.006533), valid_loss: 2.075906
loss: 3.111957 (l2_loss: 0.006882), valid_loss: 2.562662
loss: 0.245003 (l2_loss: 0.029572), valid_loss: 0.285826
loss: 0.087630 (l2_loss: 0.039406), valid_loss: 0.073687
loss: 0.057054 (l2_loss: 0.034316), valid_loss: 0.041707
loss: 0.093772 (l2_loss: 0.030214), valid_loss: 0.062201
loss: 0.072255 (l2_loss: 0.026780), valid_loss: 0.079309
loss: 0.050945 (l2_loss: 0.025354), valid_loss: 0.077774
loss: 0.071176 (l2_loss: 0.024021), valid_loss: 0.097858
loss: 0.086684 (l2_loss: 0.022258), valid_loss: 0.073273
loss: 0.073446 (l2_loss: 0.021085), valid_loss: 0.072937
loss: 0.059869 (l2_loss: 0.020896), valid_loss: 0.086486
loss: 0.107682 (l2_loss: 0.020676), valid_loss: 0.062382
loss: 0.031588 (l2_loss: 0.019803), valid_loss: 0.056021
loss: 0.066618 (l2_loss: 0.018665), valid_loss: 0.069175
loss: 0.073763 (l2_loss: 0.019156), valid_loss: 0.037117
loss: 0.086497 (l2_loss: 0.018835), valid_loss: 0.056780
loss: 0.070847 (l2_loss: 0.018800), valid_loss: 0.076566
loss: 0.051545 (l2_loss: 0.017828), valid_loss: 0.088902
loss: 0.060969 (l2_loss: 0.017579), valid_loss: 0.046126
loss: 0.067682 (l2_loss: 0.017028), valid_loss: 0.041919
loss: 0.075839 (l2_loss: 0.017319), valid_loss: 0.045543
loss: 0.066345 (l2_loss: 0.016646), valid_loss: 0.066880
loss: 0.076862 (l2_loss: 0.015796), valid_loss: 0.057842
loss: 0.046649 (l2_loss: 0.016213), valid_loss: 0.086622
loss: 0.042388 (l2_loss: 0.016227), valid_loss: 0.065006
loss: 0.070698 (l2_loss: 0.016294), valid_loss: 0.074475
loss: 0.053233 (l2_loss: 0.016005), valid_loss: 0.073968
loss: 0.076404 (l2_loss: 0.016497), valid_loss: 0.067215
loss: 0.119043 (l2_loss: 0.016354), valid_loss: 0.046581
loss: 0.068243 (l2_loss: 0.015693), valid_loss: 0.067931
[[1.         0.95738288]
 [0.95738288 1.        ]]
0.9573828848953401
