loss: 3.966141 (l2_loss: 0.006848), valid_loss: 4.362777
loss: 4.447082 (l2_loss: 0.006479), valid_loss: 4.442365
loss: 4.074724 (l2_loss: 0.006248), valid_loss: 2.942147
loss: 3.816291 (l2_loss: 0.006110), valid_loss: 3.868209
loss: 4.200474 (l2_loss: 0.006061), valid_loss: 3.386970
loss: 3.529642 (l2_loss: 0.006100), valid_loss: 3.230928
loss: 3.384253 (l2_loss: 0.006232), valid_loss: 2.489086
loss: 3.761615 (l2_loss: 0.006458), valid_loss: 3.468570
loss: 2.896717 (l2_loss: 0.006774), valid_loss: 2.808958
loss: 3.682566 (l2_loss: 0.007187), valid_loss: 2.437392
loss: 0.198344 (l2_loss: 0.031231), valid_loss: 0.339760
loss: 0.095352 (l2_loss: 0.043663), valid_loss: 0.137078
loss: 0.070822 (l2_loss: 0.034370), valid_loss: 0.093946
loss: 0.109355 (l2_loss: 0.029980), valid_loss: 0.084459
loss: 0.056116 (l2_loss: 0.026913), valid_loss: 0.141200
loss: 0.112779 (l2_loss: 0.024203), valid_loss: 0.110061
loss: 0.081422 (l2_loss: 0.022310), valid_loss: 0.066646
loss: 0.099976 (l2_loss: 0.021344), valid_loss: 0.047217
loss: 0.081772 (l2_loss: 0.020729), valid_loss: 0.058840
loss: 0.090895 (l2_loss: 0.020158), valid_loss: 0.097464
loss: 0.096496 (l2_loss: 0.019195), valid_loss: 0.085144
loss: 0.061571 (l2_loss: 0.018912), valid_loss: 0.088877
loss: 0.054706 (l2_loss: 0.018141), valid_loss: 0.053548
loss: 0.072203 (l2_loss: 0.018060), valid_loss: 0.090669
loss: 0.050036 (l2_loss: 0.018028), valid_loss: 0.081858
loss: 0.110812 (l2_loss: 0.018716), valid_loss: 0.078338
loss: 0.046198 (l2_loss: 0.017658), valid_loss: 0.121664
loss: 0.096351 (l2_loss: 0.018328), valid_loss: 0.061009
loss: 0.061889 (l2_loss: 0.017982), valid_loss: 0.081377
loss: 0.084750 (l2_loss: 0.017699), valid_loss: 0.107686
loss: 0.052256 (l2_loss: 0.017801), valid_loss: 0.069095
loss: 0.074942 (l2_loss: 0.017873), valid_loss: 0.085698
loss: 0.046101 (l2_loss: 0.017441), valid_loss: 0.063888
loss: 0.098418 (l2_loss: 0.017006), valid_loss: 0.089303
loss: 0.051777 (l2_loss: 0.017265), valid_loss: 0.093161
loss: 0.076853 (l2_loss: 0.017075), valid_loss: 0.045782
loss: 0.061035 (l2_loss: 0.017485), valid_loss: 0.061961
loss: 0.061382 (l2_loss: 0.017236), valid_loss: 0.100687
loss: 0.060409 (l2_loss: 0.017159), valid_loss: 0.064625
loss: 3.538464 (l2_loss: 0.006894), valid_loss: 3.462443
loss: 3.733582 (l2_loss: 0.006519), valid_loss: 4.215649
loss: 4.838660 (l2_loss: 0.006269), valid_loss: 2.459089
loss: 3.775084 (l2_loss: 0.006113), valid_loss: 3.431632
loss: 3.518461 (l2_loss: 0.006045), valid_loss: 4.501737
loss: 3.646580 (l2_loss: 0.006066), valid_loss: 3.266364
loss: 3.445088 (l2_loss: 0.006174), valid_loss: 3.711863
loss: 2.598332 (l2_loss: 0.006372), valid_loss: 3.231381
loss: 3.636765 (l2_loss: 0.006665), valid_loss: 3.167825
loss: 2.436629 (l2_loss: 0.007038), valid_loss: 2.756698
loss: 0.267683 (l2_loss: 0.029335), valid_loss: 0.542341
loss: 0.084325 (l2_loss: 0.047947), valid_loss: 0.123377
loss: 0.100232 (l2_loss: 0.039138), valid_loss: 0.104809
loss: 0.093418 (l2_loss: 0.032308), valid_loss: 0.098033
loss: 0.073170 (l2_loss: 0.029382), valid_loss: 0.085252
loss: 0.067513 (l2_loss: 0.026680), valid_loss: 0.081585
loss: 0.109395 (l2_loss: 0.024845), valid_loss: 0.050117
loss: 0.054471 (l2_loss: 0.023872), valid_loss: 0.086251
loss: 0.056663 (l2_loss: 0.022733), valid_loss: 0.090707
loss: 0.061118 (l2_loss: 0.022985), valid_loss: 0.074416
loss: 0.074126 (l2_loss: 0.022224), valid_loss: 0.057860
loss: 0.073443 (l2_loss: 0.021480), valid_loss: 0.133181
loss: 0.046603 (l2_loss: 0.021164), valid_loss: 0.088833
loss: 0.084454 (l2_loss: 0.021095), valid_loss: 0.058220
loss: 0.064354 (l2_loss: 0.020445), valid_loss: 0.053797
loss: 0.051890 (l2_loss: 0.020077), valid_loss: 0.066132
loss: 0.045633 (l2_loss: 0.020152), valid_loss: 0.088183
loss: 0.043418 (l2_loss: 0.020226), valid_loss: 0.071824
loss: 0.058267 (l2_loss: 0.020433), valid_loss: 0.073609
loss: 0.039172 (l2_loss: 0.019657), valid_loss: 0.089048
loss: 0.068794 (l2_loss: 0.019968), valid_loss: 0.066311
loss: 0.041940 (l2_loss: 0.019510), valid_loss: 0.054437
loss: 0.049452 (l2_loss: 0.019655), valid_loss: 0.036451
loss: 0.048895 (l2_loss: 0.019784), valid_loss: 0.055725
loss: 0.064338 (l2_loss: 0.020029), valid_loss: 0.058944
loss: 0.063725 (l2_loss: 0.020183), valid_loss: 0.043349
loss: 0.050678 (l2_loss: 0.019572), valid_loss: 0.093918
loss: 0.053781 (l2_loss: 0.019948), valid_loss: 0.048836
loss: 0.059459 (l2_loss: 0.019836), valid_loss: 0.043741
loss: 4.430788 (l2_loss: 0.006846), valid_loss: 4.618402
loss: 4.857694 (l2_loss: 0.006488), valid_loss: 4.017998
loss: 4.954960 (l2_loss: 0.006276), valid_loss: 5.143769
loss: 4.480297 (l2_loss: 0.006155), valid_loss: 3.990612
loss: 3.083255 (l2_loss: 0.006121), valid_loss: 4.223997
loss: 2.932134 (l2_loss: 0.006173), valid_loss: 3.920717
loss: 3.646356 (l2_loss: 0.006314), valid_loss: 3.333454
loss: 2.844347 (l2_loss: 0.006539), valid_loss: 3.413921
loss: 3.240456 (l2_loss: 0.006857), valid_loss: 2.869937
loss: 2.536460 (l2_loss: 0.007264), valid_loss: 3.283677
loss: 0.276531 (l2_loss: 0.029244), valid_loss: 0.359538
loss: 0.135507 (l2_loss: 0.042987), valid_loss: 0.090683
loss: 0.081782 (l2_loss: 0.034423), valid_loss: 0.061834
loss: 0.149638 (l2_loss: 0.029436), valid_loss: 0.083948
loss: 0.063848 (l2_loss: 0.025747), valid_loss: 0.083338
loss: 0.056028 (l2_loss: 0.022677), valid_loss: 0.079196
loss: 0.075499 (l2_loss: 0.021686), valid_loss: 0.096398
loss: 0.039985 (l2_loss: 0.020773), valid_loss: 0.079923
loss: 0.090073 (l2_loss: 0.020092), valid_loss: 0.078493
loss: 0.065566 (l2_loss: 0.019720), valid_loss: 0.083622
loss: 0.073650 (l2_loss: 0.019312), valid_loss: 0.065781
loss: 0.086712 (l2_loss: 0.018749), valid_loss: 0.063406
loss: 0.080758 (l2_loss: 0.018368), valid_loss: 0.067050
loss: 0.076560 (l2_loss: 0.018760), valid_loss: 0.097497
loss: 0.076961 (l2_loss: 0.018541), valid_loss: 0.088316
loss: 0.059321 (l2_loss: 0.017903), valid_loss: 0.044169
loss: 0.050499 (l2_loss: 0.017788), valid_loss: 0.066127
loss: 0.072950 (l2_loss: 0.017546), valid_loss: 0.105420
loss: 0.080965 (l2_loss: 0.017555), valid_loss: 0.051223
loss: 0.060707 (l2_loss: 0.018440), valid_loss: 0.055062
loss: 0.085565 (l2_loss: 0.017680), valid_loss: 0.079310
loss: 0.058844 (l2_loss: 0.017802), valid_loss: 0.066943
loss: 0.073249 (l2_loss: 0.017815), valid_loss: 0.044185
loss: 0.042109 (l2_loss: 0.017701), valid_loss: 0.050827
loss: 0.081608 (l2_loss: 0.017301), valid_loss: 0.077985
loss: 0.051405 (l2_loss: 0.017346), valid_loss: 0.057236
loss: 0.062392 (l2_loss: 0.017485), valid_loss: 0.073052
loss: 0.077296 (l2_loss: 0.017179), valid_loss: 0.071948
loss: 0.076002 (l2_loss: 0.016772), valid_loss: 0.070501
[[1.        0.8635176]
 [0.8635176 1.       ]]
0.8635176008622065
