****************
acc: 0.8404
****************
loss: 0.608985 (l2_loss: 0.274648), acc: 0.781250, valid_acc: 0.828125
loss: 0.596722 (l2_loss: 0.273950), acc: 0.781250, valid_acc: 0.828125
loss: 0.595023 (l2_loss: 0.273242), acc: 0.812500, valid_acc: 0.718750
loss: 0.576914 (l2_loss: 0.272534), acc: 0.765625, valid_acc: 0.796875
loss: 0.545822 (l2_loss: 0.271818), acc: 0.843750, valid_acc: 0.906250
loss: 0.551652 (l2_loss: 0.271115), acc: 0.843750, valid_acc: 0.781250
loss: 0.484051 (l2_loss: 0.270413), acc: 0.906250, valid_acc: 0.828125
loss: 0.497719 (l2_loss: 0.269718), acc: 0.812500, valid_acc: 0.859375
loss: 0.488119 (l2_loss: 0.269025), acc: 0.828125, valid_acc: 0.843750
loss: 0.528396 (l2_loss: 0.268332), acc: 0.812500, valid_acc: 0.796875
loss: 0.180094 (l2_loss: 0.210457), acc: 0.921875, valid_acc: 0.921875
loss: 0.061516 (l2_loss: 0.159897), acc: 0.984375, valid_acc: 0.984375
loss: 0.073267 (l2_loss: 0.125034), acc: 0.968750, valid_acc: 0.984375
loss: 0.074192 (l2_loss: 0.100924), acc: 0.968750, valid_acc: 0.968750
loss: 0.075165 (l2_loss: 0.083944), acc: 0.953125, valid_acc: 0.984375
loss: 0.044707 (l2_loss: 0.072087), acc: 0.984375, valid_acc: 0.968750
loss: 0.032867 (l2_loss: 0.063552), acc: 0.984375, valid_acc: 0.953125
loss: 0.030817 (l2_loss: 0.057113), acc: 0.984375, valid_acc: 0.984375
loss: 0.016343 (l2_loss: 0.052186), acc: 1.000000, valid_acc: 1.000000
loss: 0.021684 (l2_loss: 0.048815), acc: 1.000000, valid_acc: 1.000000
loss: 0.070981 (l2_loss: 0.045650), acc: 0.968750, valid_acc: 0.968750
loss: 0.017368 (l2_loss: 0.043677), acc: 1.000000, valid_acc: 1.000000
loss: 0.051438 (l2_loss: 0.042344), acc: 0.968750, valid_acc: 1.000000
