loss: 2.214773 (l2_loss: 0.009427), valid_loss: 1.949849
loss: 3.296708 (l2_loss: 0.008853), valid_loss: 2.649434
loss: 2.983634 (l2_loss: 0.008410), valid_loss: 2.500412
loss: 2.296578 (l2_loss: 0.008097), valid_loss: 2.488457
loss: 2.032227 (l2_loss: 0.007910), valid_loss: 2.178866
loss: 1.572922 (l2_loss: 0.007849), valid_loss: 3.251470
loss: 2.781955 (l2_loss: 0.007910), valid_loss: 2.470207
loss: 2.160991 (l2_loss: 0.008078), valid_loss: 1.881435
loss: 1.908761 (l2_loss: 0.008368), valid_loss: 1.629301
loss: 1.800265 (l2_loss: 0.008781), valid_loss: 1.259683
loss: 0.321578 (l2_loss: 0.037621), valid_loss: 0.422691
loss: 0.203226 (l2_loss: 0.038596), valid_loss: 0.348167
loss: 0.195728 (l2_loss: 0.046500), valid_loss: 0.159599
loss: 0.131475 (l2_loss: 0.054401), valid_loss: 0.136893
loss: 0.079576 (l2_loss: 0.055792), valid_loss: 0.062225
loss: 0.066921 (l2_loss: 0.051918), valid_loss: 0.069979
loss: 0.068520 (l2_loss: 0.049398), valid_loss: 0.044502
loss: 0.036745 (l2_loss: 0.048016), valid_loss: 0.036004
loss: 0.048611 (l2_loss: 0.045401), valid_loss: 0.033972
loss: 0.024519 (l2_loss: 0.043773), valid_loss: 0.030347
loss: 0.030315 (l2_loss: 0.042489), valid_loss: 0.037719
loss: 0.022999 (l2_loss: 0.041275), valid_loss: 0.040897
loss: 0.032557 (l2_loss: 0.039655), valid_loss: 0.036706
loss: 0.027457 (l2_loss: 0.038808), valid_loss: 0.034635
loss: 0.036322 (l2_loss: 0.037754), valid_loss: 0.032440
loss: 0.020058 (l2_loss: 0.037147), valid_loss: 0.025235
loss: 0.025980 (l2_loss: 0.036268), valid_loss: 0.023151
loss: 0.029211 (l2_loss: 0.035581), valid_loss: 0.032577
loss: 0.026122 (l2_loss: 0.035019), valid_loss: 0.023297
loss: 0.020898 (l2_loss: 0.034774), valid_loss: 0.050332
loss: 0.046900 (l2_loss: 0.033990), valid_loss: 0.018098
loss: 0.022521 (l2_loss: 0.034244), valid_loss: 0.025083
loss: 0.017496 (l2_loss: 0.033658), valid_loss: 0.025808
loss: 0.016654 (l2_loss: 0.033421), valid_loss: 0.028018
loss: 0.023133 (l2_loss: 0.033227), valid_loss: 0.021236
loss: 0.027822 (l2_loss: 0.033141), valid_loss: 0.027035
loss: 0.023600 (l2_loss: 0.032725), valid_loss: 0.023356
loss: 0.029602 (l2_loss: 0.032372), valid_loss: 0.015335
loss: 0.028077 (l2_loss: 0.032308), valid_loss: 0.018891
loss: 2.922137 (l2_loss: 0.009440), valid_loss: 2.596765
loss: 2.580129 (l2_loss: 0.008902), valid_loss: 2.957947
loss: 2.442186 (l2_loss: 0.008480), valid_loss: 2.872934
loss: 3.693562 (l2_loss: 0.008175), valid_loss: 2.429161
