****************
acc: 0.9168
****************
loss: 0.631601 (l2_loss: 0.279645), acc: 0.796875, valid_acc: 0.890625
loss: 0.591901 (l2_loss: 0.279353), acc: 0.890625, valid_acc: 0.890625
loss: 0.536002 (l2_loss: 0.279056), acc: 0.937500, valid_acc: 0.968750
loss: 0.505000 (l2_loss: 0.278763), acc: 0.921875, valid_acc: 0.968750
loss: 0.460967 (l2_loss: 0.278462), acc: 0.906250, valid_acc: 0.937500
loss: 0.433832 (l2_loss: 0.278159), acc: 0.906250, valid_acc: 0.953125
loss: 0.394486 (l2_loss: 0.277849), acc: 0.953125, valid_acc: 0.968750
loss: 0.367862 (l2_loss: 0.277538), acc: 0.968750, valid_acc: 0.953125
loss: 0.358633 (l2_loss: 0.277222), acc: 0.921875, valid_acc: 0.953125
loss: 0.336118 (l2_loss: 0.276893), acc: 0.921875, valid_acc: 0.953125
loss: 0.036489 (l2_loss: 0.222725), acc: 0.984375, valid_acc: 1.000000
loss: 0.008459 (l2_loss: 0.162670), acc: 1.000000, valid_acc: 1.000000
loss: 0.007770 (l2_loss: 0.119281), acc: 1.000000, valid_acc: 1.000000
loss: 0.013089 (l2_loss: 0.088751), acc: 1.000000, valid_acc: 1.000000
loss: 0.006324 (l2_loss: 0.067379), acc: 1.000000, valid_acc: 1.000000
loss: 0.009334 (l2_loss: 0.052521), acc: 1.000000, valid_acc: 1.000000
loss: 0.035335 (l2_loss: 0.042098), acc: 0.984375, valid_acc: 1.000000
loss: 0.009481 (l2_loss: 0.034386), acc: 1.000000, valid_acc: 1.000000
loss: 0.005720 (l2_loss: 0.029124), acc: 1.000000, valid_acc: 1.000000
loss: 0.002850 (l2_loss: 0.025197), acc: 1.000000, valid_acc: 1.000000
loss: 0.002709 (l2_loss: 0.022365), acc: 1.000000, valid_acc: 1.000000
loss: 0.002906 (l2_loss: 0.020260), acc: 1.000000, valid_acc: 1.000000
loss: 0.010249 (l2_loss: 0.018826), acc: 1.000000, valid_acc: 1.000000
loss: 0.003066 (l2_loss: 0.017716), acc: 1.000000, valid_acc: 1.000000
loss: 0.016781 (l2_loss: 0.016527), acc: 0.984375, valid_acc: 1.000000
loss: 0.001215 (l2_loss: 0.015988), acc: 1.000000, valid_acc: 1.000000
