loss: 1.756534 (l2_loss: 0.006997), valid_loss: 2.420523
loss: 1.977759 (l2_loss: 0.006782), valid_loss: 2.848274
loss: 2.349789 (l2_loss: 0.006628), valid_loss: 2.381352
loss: 1.702392 (l2_loss: 0.006546), valid_loss: 1.777184
loss: 2.206315 (l2_loss: 0.006536), valid_loss: 1.502645
loss: 1.543926 (l2_loss: 0.006601), valid_loss: 1.068585
loss: 1.959325 (l2_loss: 0.006744), valid_loss: 1.757620
loss: 1.586648 (l2_loss: 0.006967), valid_loss: 1.634019
loss: 1.557333 (l2_loss: 0.007275), valid_loss: 1.216645
loss: 1.280943 (l2_loss: 0.007669), valid_loss: 1.195172
loss: 0.056262 (l2_loss: 0.042132), valid_loss: 0.052105
loss: 0.051513 (l2_loss: 0.032490), valid_loss: 0.055457
loss: 0.021879 (l2_loss: 0.029350), valid_loss: 0.037235
loss: 0.017291 (l2_loss: 0.027682), valid_loss: 0.027398
loss: 0.017733 (l2_loss: 0.026307), valid_loss: 0.017950
loss: 0.020527 (l2_loss: 0.025265), valid_loss: 0.017503
loss: 0.015117 (l2_loss: 0.024555), valid_loss: 0.022230
loss: 0.016331 (l2_loss: 0.023874), valid_loss: 0.021828
loss: 0.009651 (l2_loss: 0.023048), valid_loss: 0.024737
loss: 0.015798 (l2_loss: 0.022158), valid_loss: 0.019270
loss: 0.014389 (l2_loss: 0.020947), valid_loss: 0.018845
loss: 0.020840 (l2_loss: 0.020600), valid_loss: 0.018439
loss: 0.009262 (l2_loss: 0.020307), valid_loss: 0.019946
loss: 0.015782 (l2_loss: 0.020292), valid_loss: 0.011340
loss: 0.015420 (l2_loss: 0.019579), valid_loss: 0.008691
loss: 0.015731 (l2_loss: 0.019174), valid_loss: 0.013914
loss: 0.017559 (l2_loss: 0.018945), valid_loss: 0.019017
loss: 0.016521 (l2_loss: 0.018470), valid_loss: 0.024838
loss: 0.013245 (l2_loss: 0.018281), valid_loss: 0.013045
loss: 0.009224 (l2_loss: 0.018374), valid_loss: 0.012894
loss: 0.013075 (l2_loss: 0.017910), valid_loss: 0.016849
loss: 0.014788 (l2_loss: 0.017853), valid_loss: 0.015468
loss: 0.012379 (l2_loss: 0.017835), valid_loss: 0.013382
loss: 0.014236 (l2_loss: 0.017670), valid_loss: 0.014973
loss: 0.018045 (l2_loss: 0.017430), valid_loss: 0.018133
loss: 0.017703 (l2_loss: 0.017163), valid_loss: 0.016568
loss: 0.009063 (l2_loss: 0.017422), valid_loss: 0.021027
loss: 0.010294 (l2_loss: 0.017257), valid_loss: 0.009267
loss: 0.017748 (l2_loss: 0.017276), valid_loss: 0.014259
loss: 1.674470 (l2_loss: 0.007108), valid_loss: 2.243351
loss: 1.783103 (l2_loss: 0.006891), valid_loss: 2.110386
loss: 2.065886 (l2_loss: 0.006743), valid_loss: 1.373920
loss: 1.282763 (l2_loss: 0.006680), valid_loss: 1.134349
loss: 1.687878 (l2_loss: 0.006695), valid_loss: 1.272170
loss: 0.903073 (l2_loss: 0.006793), valid_loss: 1.699242
loss: 1.995973 (l2_loss: 0.006978), valid_loss: 1.811640
loss: 1.369013 (l2_loss: 0.007238), valid_loss: 1.736032
loss: 1.990637 (l2_loss: 0.007595), valid_loss: 1.952735
loss: 1.131205 (l2_loss: 0.008047), valid_loss: 1.111416
loss: 0.046859 (l2_loss: 0.043411), valid_loss: 0.040283
loss: 0.031742 (l2_loss: 0.030251), valid_loss: 0.041425
loss: 0.021166 (l2_loss: 0.027083), valid_loss: 0.025139
