****************
acc: 0.9074
****************
loss: 0.684810 (l2_loss: 0.375678), acc: 0.562500, valid_acc: 0.890625
loss: 0.628336 (l2_loss: 0.374747), acc: 0.921875, valid_acc: 0.984375
loss: 0.586819 (l2_loss: 0.373814), acc: 0.968750, valid_acc: 0.984375
loss: 0.556050 (l2_loss: 0.372887), acc: 0.984375, valid_acc: 1.000000
loss: 0.523716 (l2_loss: 0.371955), acc: 0.968750, valid_acc: 1.000000
loss: 0.475194 (l2_loss: 0.371019), acc: 1.000000, valid_acc: 1.000000
loss: 0.435094 (l2_loss: 0.370089), acc: 1.000000, valid_acc: 1.000000
loss: 0.422184 (l2_loss: 0.369165), acc: 0.984375, valid_acc: 1.000000
loss: 0.404801 (l2_loss: 0.368242), acc: 0.984375, valid_acc: 1.000000
loss: 0.356552 (l2_loss: 0.367320), acc: 1.000000, valid_acc: 0.984375
loss: 0.017800 (l2_loss: 0.273006), acc: 1.000000, valid_acc: 1.000000
loss: 0.006019 (l2_loss: 0.189733), acc: 1.000000, valid_acc: 1.000000
loss: 0.010067 (l2_loss: 0.134654), acc: 1.000000, valid_acc: 1.000000
loss: 0.007145 (l2_loss: 0.098021), acc: 1.000000, valid_acc: 1.000000
loss: 0.001807 (l2_loss: 0.073320), acc: 1.000000, valid_acc: 1.000000
loss: 0.009976 (l2_loss: 0.056215), acc: 1.000000, valid_acc: 1.000000
loss: 0.007974 (l2_loss: 0.044276), acc: 1.000000, valid_acc: 1.000000
loss: 0.003854 (l2_loss: 0.035723), acc: 1.000000, valid_acc: 1.000000
loss: 0.007742 (l2_loss: 0.030123), acc: 1.000000, valid_acc: 1.000000
loss: 0.002754 (l2_loss: 0.025892), acc: 1.000000, valid_acc: 1.000000
loss: 0.007792 (l2_loss: 0.022912), acc: 1.000000, valid_acc: 1.000000
loss: 0.002637 (l2_loss: 0.020316), acc: 1.000000, valid_acc: 0.984375
loss: 0.005650 (l2_loss: 0.019052), acc: 1.000000, valid_acc: 1.000000
loss: 0.006839 (l2_loss: 0.017625), acc: 1.000000, valid_acc: 1.000000
loss: 0.004275 (l2_loss: 0.016591), acc: 1.000000, valid_acc: 1.000000
loss: 0.006324 (l2_loss: 0.015877), acc: 1.000000, valid_acc: 1.000000
loss: 0.014624 (l2_loss: 0.015665), acc: 1.000000, valid_acc: 1.000000
loss: 0.000862 (l2_loss: 0.015198), acc: 1.000000, valid_acc: 1.000000
loss: 0.006201 (l2_loss: 0.015031), acc: 1.000000, valid_acc: 1.000000
loss: 0.001852 (l2_loss: 0.014560), acc: 1.000000, valid_acc: 1.000000
loss: 0.002907 (l2_loss: 0.014782), acc: 1.000000, valid_acc: 1.000000
loss: 0.004207 (l2_loss: 0.014654), acc: 1.000000, valid_acc: 1.000000
loss: 0.000628 (l2_loss: 0.014337), acc: 1.000000, valid_acc: 1.000000
loss: 0.001445 (l2_loss: 0.014483), acc: 1.000000, valid_acc: 1.000000
loss: 0.002335 (l2_loss: 0.014555), acc: 1.000000, valid_acc: 1.000000
loss: 0.002666 (l2_loss: 0.014269), acc: 1.000000, valid_acc: 0.984375
loss: 0.000681 (l2_loss: 0.014416), acc: 1.000000, valid_acc: 1.000000
loss: 0.003183 (l2_loss: 0.014420), acc: 1.000000, valid_acc: 1.000000
loss: 0.005275 (l2_loss: 0.014255), acc: 1.000000, valid_acc: 1.000000
****************
acc: 0.9074
****************
loss: 0.728740 (l2_loss: 0.373799), acc: 0.156250, valid_acc: 0.625000
loss: 0.687756 (l2_loss: 0.372832), acc: 0.546875, valid_acc: 0.906250
loss: 0.635048 (l2_loss: 0.371869), acc: 0.890625, valid_acc: 0.984375
loss: 0.596905 (l2_loss: 0.370916), acc: 0.953125, valid_acc: 0.968750
loss: 0.571095 (l2_loss: 0.369963), acc: 0.984375, valid_acc: 1.000000
loss: 0.522646 (l2_loss: 0.369013), acc: 1.000000, valid_acc: 1.000000
loss: 0.487604 (l2_loss: 0.368072), acc: 1.000000, valid_acc: 1.000000
loss: 0.461649 (l2_loss: 0.367141), acc: 1.000000, valid_acc: 1.000000
loss: 0.445418 (l2_loss: 0.366215), acc: 0.984375, valid_acc: 1.000000
loss: 0.393251 (l2_loss: 0.365288), acc: 1.000000, valid_acc: 0.984375
loss: 0.017773 (l2_loss: 0.273993), acc: 1.000000, valid_acc: 1.000000
