****************
acc: 0.908
****************
loss: 0.732560 (l2_loss: 0.281509), acc: 0.343750, valid_acc: 0.671875
loss: 0.677846 (l2_loss: 0.281182), acc: 0.546875, valid_acc: 0.890625
loss: 0.618312 (l2_loss: 0.280874), acc: 0.812500, valid_acc: 0.859375
loss: 0.569267 (l2_loss: 0.280571), acc: 0.859375, valid_acc: 0.921875
loss: 0.548647 (l2_loss: 0.280270), acc: 0.906250, valid_acc: 0.906250
loss: 0.472242 (l2_loss: 0.279971), acc: 0.953125, valid_acc: 0.984375
loss: 0.438850 (l2_loss: 0.279677), acc: 0.953125, valid_acc: 0.984375
loss: 0.396086 (l2_loss: 0.279382), acc: 0.953125, valid_acc: 0.906250
loss: 0.367447 (l2_loss: 0.279088), acc: 1.000000, valid_acc: 0.984375
loss: 0.390442 (l2_loss: 0.278794), acc: 0.906250, valid_acc: 0.953125
loss: 0.062621 (l2_loss: 0.229937), acc: 0.968750, valid_acc: 0.984375
loss: 0.023106 (l2_loss: 0.173099), acc: 1.000000, valid_acc: 1.000000
loss: 0.005751 (l2_loss: 0.129933), acc: 1.000000, valid_acc: 1.000000
loss: 0.004336 (l2_loss: 0.098467), acc: 1.000000, valid_acc: 1.000000
loss: 0.003933 (l2_loss: 0.076161), acc: 1.000000, valid_acc: 1.000000
loss: 0.006468 (l2_loss: 0.060248), acc: 1.000000, valid_acc: 1.000000
loss: 0.007108 (l2_loss: 0.048143), acc: 1.000000, valid_acc: 1.000000
loss: 0.018538 (l2_loss: 0.039847), acc: 1.000000, valid_acc: 1.000000
loss: 0.001969 (l2_loss: 0.033692), acc: 1.000000, valid_acc: 1.000000
loss: 0.001828 (l2_loss: 0.028987), acc: 1.000000, valid_acc: 1.000000
loss: 0.023451 (l2_loss: 0.025336), acc: 0.984375, valid_acc: 1.000000
loss: 0.003904 (l2_loss: 0.022417), acc: 1.000000, valid_acc: 1.000000
loss: 0.004048 (l2_loss: 0.020727), acc: 1.000000, valid_acc: 1.000000
loss: 0.002151 (l2_loss: 0.019497), acc: 1.000000, valid_acc: 1.000000
loss: 0.004626 (l2_loss: 0.018209), acc: 1.000000, valid_acc: 1.000000
loss: 0.008658 (l2_loss: 0.017203), acc: 1.000000, valid_acc: 1.000000
loss: 0.003457 (l2_loss: 0.016643), acc: 1.000000, valid_acc: 1.000000
loss: 0.003202 (l2_loss: 0.015923), acc: 1.000000, valid_acc: 1.000000
loss: 0.014369 (l2_loss: 0.015613), acc: 1.000000, valid_acc: 1.000000
loss: 0.002151 (l2_loss: 0.015174), acc: 1.000000, valid_acc: 1.000000
