loss: 2.506623 (l2_loss: 0.009405), valid_loss: 3.037543
loss: 2.654700 (l2_loss: 0.008791), valid_loss: 2.032719
loss: 1.961074 (l2_loss: 0.008295), valid_loss: 1.952316
loss: 2.769717 (l2_loss: 0.007914), valid_loss: 1.882324
loss: 1.489283 (l2_loss: 0.007648), valid_loss: 2.157406
loss: 2.727831 (l2_loss: 0.007500), valid_loss: 2.551175
loss: 1.679767 (l2_loss: 0.007456), valid_loss: 2.067338
loss: 1.788626 (l2_loss: 0.007526), valid_loss: 1.869378
loss: 1.716711 (l2_loss: 0.007709), valid_loss: 2.157170
loss: 1.348789 (l2_loss: 0.008005), valid_loss: 1.511980
loss: 0.559138 (l2_loss: 0.038994), valid_loss: 0.356783
loss: 0.237247 (l2_loss: 0.039920), valid_loss: 0.237892
loss: 0.139655 (l2_loss: 0.049833), valid_loss: 0.308260
loss: 0.098993 (l2_loss: 0.057155), valid_loss: 0.137589
loss: 0.120527 (l2_loss: 0.057541), valid_loss: 0.056583
loss: 0.061614 (l2_loss: 0.053157), valid_loss: 0.063824
loss: 0.057693 (l2_loss: 0.050239), valid_loss: 0.046302
loss: 0.054592 (l2_loss: 0.048363), valid_loss: 0.044708
loss: 0.036333 (l2_loss: 0.045922), valid_loss: 0.046611
loss: 0.037756 (l2_loss: 0.043704), valid_loss: 0.038846
loss: 0.051601 (l2_loss: 0.042142), valid_loss: 0.040946
loss: 0.039944 (l2_loss: 0.040659), valid_loss: 0.034595
loss: 0.038663 (l2_loss: 0.039534), valid_loss: 0.031213
loss: 0.025132 (l2_loss: 0.038663), valid_loss: 0.038615
loss: 0.030590 (l2_loss: 0.038293), valid_loss: 0.041247
loss: 0.034390 (l2_loss: 0.036774), valid_loss: 0.048328
loss: 0.026751 (l2_loss: 0.036515), valid_loss: 0.033395
loss: 0.023212 (l2_loss: 0.036239), valid_loss: 0.020695
loss: 0.033982 (l2_loss: 0.035366), valid_loss: 0.033112
loss: 0.041214 (l2_loss: 0.035410), valid_loss: 0.032345
loss: 0.023631 (l2_loss: 0.034117), valid_loss: 0.034978
loss: 0.020962 (l2_loss: 0.034062), valid_loss: 0.029844
loss: 0.023508 (l2_loss: 0.033598), valid_loss: 0.042926
loss: 0.022686 (l2_loss: 0.033749), valid_loss: 0.037232
loss: 0.024273 (l2_loss: 0.033210), valid_loss: 0.040220
loss: 0.023612 (l2_loss: 0.032698), valid_loss: 0.040695
loss: 0.037896 (l2_loss: 0.032552), valid_loss: 0.031716
loss: 0.030091 (l2_loss: 0.032305), valid_loss: 0.036985
loss: 0.037784 (l2_loss: 0.032792), valid_loss: 0.034084
loss: 2.168915 (l2_loss: 0.009457), valid_loss: 3.135695
loss: 3.489890 (l2_loss: 0.008937), valid_loss: 3.477555
loss: 2.818798 (l2_loss: 0.008534), valid_loss: 2.382135
loss: 2.365534 (l2_loss: 0.008255), valid_loss: 2.398588
loss: 1.892855 (l2_loss: 0.008096), valid_loss: 2.528069
loss: 2.053981 (l2_loss: 0.008057), valid_loss: 2.010390
loss: 1.750070 (l2_loss: 0.008135), valid_loss: 1.647172
loss: 2.072974 (l2_loss: 0.008332), valid_loss: 1.269789
loss: 2.576340 (l2_loss: 0.008645), valid_loss: 1.233535
loss: 1.447253 (l2_loss: 0.009058), valid_loss: 1.795742
loss: 0.355069 (l2_loss: 0.040475), valid_loss: 0.313622
loss: 0.294153 (l2_loss: 0.037591), valid_loss: 0.351174
loss: 0.264278 (l2_loss: 0.046699), valid_loss: 0.214759
loss: 0.173169 (l2_loss: 0.059302), valid_loss: 0.113296
loss: 0.077037 (l2_loss: 0.059767), valid_loss: 0.069487
loss: 0.053289 (l2_loss: 0.057780), valid_loss: 0.076858
loss: 0.066561 (l2_loss: 0.054817), valid_loss: 0.036795
loss: 0.036707 (l2_loss: 0.051827), valid_loss: 0.034385
loss: 0.042074 (l2_loss: 0.048296), valid_loss: 0.027149
loss: 0.041180 (l2_loss: 0.045067), valid_loss: 0.048674
loss: 0.028638 (l2_loss: 0.043777), valid_loss: 0.040181
loss: 0.027371 (l2_loss: 0.042553), valid_loss: 0.038372
loss: 0.049211 (l2_loss: 0.041091), valid_loss: 0.027177
loss: 0.028990 (l2_loss: 0.040161), valid_loss: 0.034727
loss: 0.027857 (l2_loss: 0.039268), valid_loss: 0.022995
loss: 0.038907 (l2_loss: 0.037924), valid_loss: 0.054424
loss: 0.021922 (l2_loss: 0.037929), valid_loss: 0.032140
loss: 0.045342 (l2_loss: 0.036915), valid_loss: 0.020886
loss: 0.025535 (l2_loss: 0.036893), valid_loss: 0.031232
loss: 0.038866 (l2_loss: 0.036261), valid_loss: 0.033358
loss: 0.030916 (l2_loss: 0.036184), valid_loss: 0.035242
loss: 0.028558 (l2_loss: 0.035372), valid_loss: 0.031478
loss: 0.023477 (l2_loss: 0.035678), valid_loss: 0.021618
loss: 0.025662 (l2_loss: 0.035264), valid_loss: 0.020934
loss: 0.034396 (l2_loss: 0.034475), valid_loss: 0.022077
loss: 0.031272 (l2_loss: 0.034293), valid_loss: 0.021585
loss: 0.024960 (l2_loss: 0.033850), valid_loss: 0.024599
loss: 0.025114 (l2_loss: 0.033705), valid_loss: 0.048130
loss: 0.027730 (l2_loss: 0.033636), valid_loss: 0.027555
loss: 2.362828 (l2_loss: 0.009446), valid_loss: 1.740468
loss: 2.966772 (l2_loss: 0.008839), valid_loss: 1.998847
loss: 2.225142 (l2_loss: 0.008368), valid_loss: 2.677320
loss: 2.534777 (l2_loss: 0.008020), valid_loss: 2.103357
loss: 1.986643 (l2_loss: 0.007795), valid_loss: 1.864093
loss: 2.425156 (l2_loss: 0.007691), valid_loss: 2.437519
loss: 2.117073 (l2_loss: 0.007705), valid_loss: 2.299801
loss: 1.529950 (l2_loss: 0.007842), valid_loss: 2.232426
loss: 2.052592 (l2_loss: 0.008099), valid_loss: 1.717471
loss: 0.667563 (l2_loss: 0.008470), valid_loss: 1.935830
loss: 0.348667 (l2_loss: 0.039189), valid_loss: 0.435787
loss: 0.257167 (l2_loss: 0.041101), valid_loss: 0.325323
loss: 0.121723 (l2_loss: 0.050349), valid_loss: 0.114150
loss: 0.078032 (l2_loss: 0.051907), valid_loss: 0.071257
loss: 0.040699 (l2_loss: 0.048874), valid_loss: 0.030967
loss: 0.022236 (l2_loss: 0.044536), valid_loss: 0.029689
loss: 0.020412 (l2_loss: 0.039969), valid_loss: 0.025684
loss: 0.021663 (l2_loss: 0.036570), valid_loss: 0.022445
loss: 0.022003 (l2_loss: 0.034928), valid_loss: 0.022239
loss: 0.021021 (l2_loss: 0.032460), valid_loss: 0.021440
loss: 0.019281 (l2_loss: 0.030861), valid_loss: 0.031050
loss: 0.016378 (l2_loss: 0.029222), valid_loss: 0.020045
loss: 0.022178 (l2_loss: 0.028108), valid_loss: 0.021310
loss: 0.018384 (l2_loss: 0.026866), valid_loss: 0.026130
loss: 0.014861 (l2_loss: 0.025878), valid_loss: 0.012746
loss: 0.014543 (l2_loss: 0.025541), valid_loss: 0.015900
loss: 0.016945 (l2_loss: 0.024508), valid_loss: 0.011781
loss: 0.018426 (l2_loss: 0.023895), valid_loss: 0.014403
loss: 0.014880 (l2_loss: 0.023430), valid_loss: 0.019072
loss: 0.015019 (l2_loss: 0.022923), valid_loss: 0.009327
loss: 0.014425 (l2_loss: 0.022573), valid_loss: 0.011915
loss: 0.018280 (l2_loss: 0.022222), valid_loss: 0.022663
loss: 0.019083 (l2_loss: 0.021865), valid_loss: 0.020253
loss: 0.014394 (l2_loss: 0.021549), valid_loss: 0.016825
loss: 0.024817 (l2_loss: 0.021149), valid_loss: 0.013088
loss: 0.017812 (l2_loss: 0.020914), valid_loss: 0.025438
loss: 0.019093 (l2_loss: 0.020769), valid_loss: 0.012476
loss: 0.011781 (l2_loss: 0.020416), valid_loss: 0.012049
loss: 0.009002 (l2_loss: 0.020270), valid_loss: 0.010703
[[1.         0.86644729]
 [0.86644729 1.        ]]
0.8664472939774316
