loss: 0.053091 (l2_loss: 0.049603), valid_loss: 0.062085
loss: 0.042590 (l2_loss: 0.047857), valid_loss: 0.062159
loss: 0.050342 (l2_loss: 0.045707), valid_loss: 0.041361
loss: 0.042365 (l2_loss: 0.043943), valid_loss: 0.047574
loss: 0.039285 (l2_loss: 0.041616), valid_loss: 0.049397
loss: 0.030656 (l2_loss: 0.040969), valid_loss: 0.042844
loss: 0.031505 (l2_loss: 0.039763), valid_loss: 0.035199
loss: 0.032962 (l2_loss: 0.039355), valid_loss: 0.024729
loss: 0.032614 (l2_loss: 0.038300), valid_loss: 0.027649
loss: 0.031629 (l2_loss: 0.036904), valid_loss: 0.035231
loss: 0.029002 (l2_loss: 0.036251), valid_loss: 0.042024
loss: 0.020949 (l2_loss: 0.036287), valid_loss: 0.031274
loss: 0.028367 (l2_loss: 0.035643), valid_loss: 0.027962
loss: 0.030129 (l2_loss: 0.035272), valid_loss: 0.022913
loss: 0.030452 (l2_loss: 0.034652), valid_loss: 0.024422
loss: 0.031110 (l2_loss: 0.034149), valid_loss: 0.028868
loss: 0.024822 (l2_loss: 0.033810), valid_loss: 0.029127
loss: 0.034838 (l2_loss: 0.033792), valid_loss: 0.018262
loss: 0.027877 (l2_loss: 0.032999), valid_loss: 0.030997
loss: 0.032889 (l2_loss: 0.033112), valid_loss: 0.020971
loss: 0.026926 (l2_loss: 0.032771), valid_loss: 0.021969
loss: 0.030625 (l2_loss: 0.032866), valid_loss: 0.017154
loss: 0.034229 (l2_loss: 0.031963), valid_loss: 0.024110
[[1.         0.86904612]
 [0.86904612 1.        ]]
0.8690461238533075
