loss: 2.821219 (l2_loss: 0.009455), valid_loss: 3.759244
loss: 3.368937 (l2_loss: 0.008876), valid_loss: 3.874764
loss: 3.303884 (l2_loss: 0.008409), valid_loss: 3.540867
loss: 2.703652 (l2_loss: 0.008055), valid_loss: 3.034262
loss: 3.247829 (l2_loss: 0.007814), valid_loss: 2.408293
loss: 2.682445 (l2_loss: 0.007685), valid_loss: 2.281724
loss: 2.648970 (l2_loss: 0.007664), valid_loss: 2.934053
loss: 2.407283 (l2_loss: 0.007754), valid_loss: 2.416585
loss: 2.299855 (l2_loss: 0.007953), valid_loss: 2.155241
loss: 2.024451 (l2_loss: 0.008263), valid_loss: 2.364345
loss: 0.564266 (l2_loss: 0.032142), valid_loss: 0.397407
loss: 0.269943 (l2_loss: 0.049317), valid_loss: 0.343169
loss: 0.140141 (l2_loss: 0.059146), valid_loss: 0.168228
loss: 0.127192 (l2_loss: 0.054321), valid_loss: 0.091740
loss: 0.126865 (l2_loss: 0.050694), valid_loss: 0.070992
loss: 0.091521 (l2_loss: 0.045267), valid_loss: 0.096372
loss: 0.062319 (l2_loss: 0.041942), valid_loss: 0.079697
loss: 0.069972 (l2_loss: 0.039862), valid_loss: 0.061043
loss: 0.078594 (l2_loss: 0.038243), valid_loss: 0.055618
loss: 0.078352 (l2_loss: 0.037357), valid_loss: 0.077989
loss: 0.050754 (l2_loss: 0.037247), valid_loss: 0.061077
loss: 0.058110 (l2_loss: 0.035805), valid_loss: 0.083877
loss: 0.049324 (l2_loss: 0.035055), valid_loss: 0.045558
loss: 0.061501 (l2_loss: 0.034850), valid_loss: 0.037877
loss: 0.033193 (l2_loss: 0.034916), valid_loss: 0.058771
loss: 0.079563 (l2_loss: 0.034936), valid_loss: 0.082449
loss: 0.049655 (l2_loss: 0.034229), valid_loss: 0.035902
loss: 0.057751 (l2_loss: 0.033484), valid_loss: 0.048118
loss: 0.069407 (l2_loss: 0.034300), valid_loss: 0.054585
loss: 0.035496 (l2_loss: 0.033575), valid_loss: 0.042721
loss: 0.041712 (l2_loss: 0.033175), valid_loss: 0.067548
loss: 0.073825 (l2_loss: 0.033524), valid_loss: 0.054953
loss: 0.049877 (l2_loss: 0.033508), valid_loss: 0.042214
loss: 0.067282 (l2_loss: 0.032834), valid_loss: 0.037642
loss: 0.063529 (l2_loss: 0.033063), valid_loss: 0.045357
loss: 0.043116 (l2_loss: 0.033033), valid_loss: 0.042728
loss: 0.047482 (l2_loss: 0.032991), valid_loss: 0.056569
loss: 0.038308 (l2_loss: 0.032600), valid_loss: 0.038176
loss: 0.032875 (l2_loss: 0.032694), valid_loss: 0.034183
loss: 2.724586 (l2_loss: 0.009519), valid_loss: 3.479214
loss: 2.704542 (l2_loss: 0.008962), valid_loss: 3.280005
loss: 3.174570 (l2_loss: 0.008526), valid_loss: 2.281220
loss: 1.960287 (l2_loss: 0.008218), valid_loss: 1.927218
