loss: 2.831437 (l2_loss: 0.006997), valid_loss: 3.749536
loss: 3.377101 (l2_loss: 0.006842), valid_loss: 3.831074
loss: 3.240758 (l2_loss: 0.006760), valid_loss: 3.494366
loss: 2.671404 (l2_loss: 0.006747), valid_loss: 2.967809
loss: 3.137779 (l2_loss: 0.006802), valid_loss: 2.370335
loss: 2.612701 (l2_loss: 0.006924), valid_loss: 2.190396
loss: 2.490898 (l2_loss: 0.007118), valid_loss: 2.790541
loss: 2.257992 (l2_loss: 0.007387), valid_loss: 2.247909
loss: 2.133417 (l2_loss: 0.007733), valid_loss: 1.994629
loss: 1.853994 (l2_loss: 0.008161), valid_loss: 2.156893
loss: 0.132011 (l2_loss: 0.028888), valid_loss: 0.127931
loss: 0.085462 (l2_loss: 0.030603), valid_loss: 0.101675
loss: 0.047910 (l2_loss: 0.028959), valid_loss: 0.083855
loss: 0.068084 (l2_loss: 0.027482), valid_loss: 0.062995
loss: 0.056776 (l2_loss: 0.027302), valid_loss: 0.074372
loss: 0.058636 (l2_loss: 0.026940), valid_loss: 0.048447
loss: 0.038959 (l2_loss: 0.027832), valid_loss: 0.040119
loss: 0.040377 (l2_loss: 0.027220), valid_loss: 0.046359
loss: 0.037309 (l2_loss: 0.026465), valid_loss: 0.044280
loss: 0.045934 (l2_loss: 0.026552), valid_loss: 0.032105
loss: 0.040230 (l2_loss: 0.026001), valid_loss: 0.038691
loss: 0.046827 (l2_loss: 0.025336), valid_loss: 0.050192
loss: 0.032854 (l2_loss: 0.024573), valid_loss: 0.052820
loss: 0.033283 (l2_loss: 0.024638), valid_loss: 0.033271
loss: 0.031253 (l2_loss: 0.023783), valid_loss: 0.059502
loss: 0.038048 (l2_loss: 0.022992), valid_loss: 0.053697
loss: 0.032979 (l2_loss: 0.022601), valid_loss: 0.051671
loss: 0.037947 (l2_loss: 0.022418), valid_loss: 0.056783
loss: 0.040974 (l2_loss: 0.021998), valid_loss: 0.051545
loss: 0.024157 (l2_loss: 0.021256), valid_loss: 0.029709
loss: 0.053402 (l2_loss: 0.021637), valid_loss: 0.047351
loss: 0.042257 (l2_loss: 0.021427), valid_loss: 0.032369
loss: 0.035501 (l2_loss: 0.021502), valid_loss: 0.035184
loss: 0.035391 (l2_loss: 0.021002), valid_loss: 0.032608
loss: 0.033544 (l2_loss: 0.020764), valid_loss: 0.032677
loss: 0.031678 (l2_loss: 0.020739), valid_loss: 0.031226
loss: 0.030533 (l2_loss: 0.020212), valid_loss: 0.039591
loss: 0.028855 (l2_loss: 0.020238), valid_loss: 0.036424
loss: 0.031894 (l2_loss: 0.019622), valid_loss: 0.045635
loss: 2.744505 (l2_loss: 0.007108), valid_loss: 3.513675
loss: 2.738851 (l2_loss: 0.006985), valid_loss: 3.270702
loss: 3.150943 (l2_loss: 0.006931), valid_loss: 2.249377
loss: 1.958458 (l2_loss: 0.006950), valid_loss: 1.868031
loss: 2.531079 (l2_loss: 0.007040), valid_loss: 1.886412
loss: 1.615930 (l2_loss: 0.007203), valid_loss: 2.539004
loss: 3.049002 (l2_loss: 0.007447), valid_loss: 3.041605
loss: 2.299417 (l2_loss: 0.007758), valid_loss: 2.461346
loss: 2.531825 (l2_loss: 0.008157), valid_loss: 2.752917
loss: 1.472085 (l2_loss: 0.008644), valid_loss: 1.426050
loss: 0.120486 (l2_loss: 0.033126), valid_loss: 0.112606
loss: 0.089343 (l2_loss: 0.029124), valid_loss: 0.092983
loss: 0.054376 (l2_loss: 0.026888), valid_loss: 0.080226
loss: 0.058036 (l2_loss: 0.026090), valid_loss: 0.062769
loss: 0.097226 (l2_loss: 0.025048), valid_loss: 0.058783
loss: 0.057446 (l2_loss: 0.025718), valid_loss: 0.035642
loss: 0.036207 (l2_loss: 0.025828), valid_loss: 0.029548
loss: 0.028989 (l2_loss: 0.025049), valid_loss: 0.033914
loss: 0.050881 (l2_loss: 0.025226), valid_loss: 0.028043
loss: 0.033774 (l2_loss: 0.024428), valid_loss: 0.048958
loss: 0.038172 (l2_loss: 0.024351), valid_loss: 0.037640
loss: 0.027970 (l2_loss: 0.023125), valid_loss: 0.043736
loss: 0.036417 (l2_loss: 0.023623), valid_loss: 0.053405
loss: 0.034050 (l2_loss: 0.022907), valid_loss: 0.034617
loss: 0.038628 (l2_loss: 0.022219), valid_loss: 0.031802
loss: 0.040635 (l2_loss: 0.021567), valid_loss: 0.040219
loss: 0.026616 (l2_loss: 0.020980), valid_loss: 0.027633
loss: 0.036188 (l2_loss: 0.020334), valid_loss: 0.044756
loss: 0.043409 (l2_loss: 0.020130), valid_loss: 0.043339
loss: 0.039848 (l2_loss: 0.020246), valid_loss: 0.030637
loss: 0.033672 (l2_loss: 0.019758), valid_loss: 0.030398
loss: 0.024071 (l2_loss: 0.019753), valid_loss: 0.030764
loss: 0.035610 (l2_loss: 0.020090), valid_loss: 0.060360
loss: 0.037770 (l2_loss: 0.019529), valid_loss: 0.031860
loss: 0.026642 (l2_loss: 0.019304), valid_loss: 0.028802
loss: 0.037258 (l2_loss: 0.019053), valid_loss: 0.033353
loss: 0.037003 (l2_loss: 0.018770), valid_loss: 0.036166
loss: 0.032646 (l2_loss: 0.019003), valid_loss: 0.035871
loss: 0.036653 (l2_loss: 0.018891), valid_loss: 0.029143
loss: 2.975429 (l2_loss: 0.007007), valid_loss: 3.343810
loss: 2.463660 (l2_loss: 0.006893), valid_loss: 2.324458
loss: 2.859081 (l2_loss: 0.006835), valid_loss: 4.087744
loss: 4.400398 (l2_loss: 0.006840), valid_loss: 2.403561
loss: 2.667660 (l2_loss: 0.006906), valid_loss: 2.570839
loss: 2.634316 (l2_loss: 0.007043), valid_loss: 1.704237
loss: 2.729781 (l2_loss: 0.007255), valid_loss: 1.367965
loss: 2.037972 (l2_loss: 0.007544), valid_loss: 2.318371
loss: 2.040230 (l2_loss: 0.007914), valid_loss: 1.760996
loss: 1.667988 (l2_loss: 0.008368), valid_loss: 2.429039
loss: 0.177965 (l2_loss: 0.029317), valid_loss: 0.130989
loss: 0.065828 (l2_loss: 0.030167), valid_loss: 0.068020
loss: 0.062696 (l2_loss: 0.028028), valid_loss: 0.048809
loss: 0.070963 (l2_loss: 0.026766), valid_loss: 0.060871
loss: 0.051049 (l2_loss: 0.026642), valid_loss: 0.051180
loss: 0.051472 (l2_loss: 0.026802), valid_loss: 0.064763
loss: 0.034160 (l2_loss: 0.026571), valid_loss: 0.048762
loss: 0.028864 (l2_loss: 0.026387), valid_loss: 0.031177
loss: 0.043583 (l2_loss: 0.026178), valid_loss: 0.035919
loss: 0.055736 (l2_loss: 0.025379), valid_loss: 0.039018
loss: 0.042491 (l2_loss: 0.025034), valid_loss: 0.038203
loss: 0.041956 (l2_loss: 0.024951), valid_loss: 0.041186
loss: 0.053173 (l2_loss: 0.024377), valid_loss: 0.025188
loss: 0.031751 (l2_loss: 0.023681), valid_loss: 0.051179
loss: 0.052887 (l2_loss: 0.023655), valid_loss: 0.041970
loss: 0.034778 (l2_loss: 0.022183), valid_loss: 0.028942
loss: 0.045655 (l2_loss: 0.022929), valid_loss: 0.039205
loss: 0.041290 (l2_loss: 0.022425), valid_loss: 0.029027
loss: 0.047579 (l2_loss: 0.021916), valid_loss: 0.049719
loss: 0.042355 (l2_loss: 0.021695), valid_loss: 0.034825
loss: 0.039677 (l2_loss: 0.021273), valid_loss: 0.030144
loss: 0.040041 (l2_loss: 0.021040), valid_loss: 0.038708
