loss: 0.011223 (l2_loss: 0.024815), valid_loss: 0.020176
loss: 0.019165 (l2_loss: 0.023696), valid_loss: 0.019036
loss: 0.016070 (l2_loss: 0.022673), valid_loss: 0.011395
loss: 0.021571 (l2_loss: 0.021924), valid_loss: 0.013369
loss: 0.016471 (l2_loss: 0.021518), valid_loss: 0.012116
loss: 0.008033 (l2_loss: 0.020464), valid_loss: 0.017876
loss: 0.011014 (l2_loss: 0.020097), valid_loss: 0.012699
loss: 0.011104 (l2_loss: 0.019484), valid_loss: 0.018724
loss: 0.010107 (l2_loss: 0.019155), valid_loss: 0.008706
loss: 0.020269 (l2_loss: 0.018472), valid_loss: 0.013761
loss: 0.011238 (l2_loss: 0.018181), valid_loss: 0.016060
loss: 0.012370 (l2_loss: 0.017638), valid_loss: 0.011014
loss: 0.012195 (l2_loss: 0.017299), valid_loss: 0.017179
loss: 0.007805 (l2_loss: 0.017146), valid_loss: 0.014287
loss: 0.014125 (l2_loss: 0.016805), valid_loss: 0.008552
loss: 0.010068 (l2_loss: 0.016449), valid_loss: 0.011067
loss: 0.008867 (l2_loss: 0.016133), valid_loss: 0.011583
loss: 0.023403 (l2_loss: 0.015576), valid_loss: 0.012206
loss: 0.020099 (l2_loss: 0.015554), valid_loss: 0.011608
loss: 0.010918 (l2_loss: 0.015767), valid_loss: 0.009350
loss: 0.010196 (l2_loss: 0.015469), valid_loss: 0.017183
loss: 0.008907 (l2_loss: 0.015580), valid_loss: 0.008609
loss: 0.016478 (l2_loss: 0.015126), valid_loss: 0.010123
[[1.         0.90171107]
 [0.90171107 1.        ]]
0.9017110737767571
