loss: 3.269471 (l2_loss: 0.009405), valid_loss: 3.986622
loss: 3.446298 (l2_loss: 0.008832), valid_loss: 2.644138
loss: 2.518037 (l2_loss: 0.008371), valid_loss: 2.633928
loss: 3.558133 (l2_loss: 0.008022), valid_loss: 2.522711
loss: 2.153968 (l2_loss: 0.007785), valid_loss: 2.764483
loss: 3.661528 (l2_loss: 0.007660), valid_loss: 3.248137
loss: 2.263381 (l2_loss: 0.007637), valid_loss: 2.790894
loss: 2.288717 (l2_loss: 0.007726), valid_loss: 2.566794
loss: 2.325896 (l2_loss: 0.007929), valid_loss: 2.814488
loss: 1.779390 (l2_loss: 0.008243), valid_loss: 2.107043
loss: 0.628448 (l2_loss: 0.034844), valid_loss: 0.453148
loss: 0.204696 (l2_loss: 0.045230), valid_loss: 0.169628
loss: 0.185577 (l2_loss: 0.055069), valid_loss: 0.079325
loss: 0.074249 (l2_loss: 0.053864), valid_loss: 0.089217
loss: 0.081893 (l2_loss: 0.050606), valid_loss: 0.067474
loss: 0.086022 (l2_loss: 0.045363), valid_loss: 0.058801
loss: 0.069590 (l2_loss: 0.042942), valid_loss: 0.086258
loss: 0.066138 (l2_loss: 0.041982), valid_loss: 0.056750
loss: 0.059642 (l2_loss: 0.039375), valid_loss: 0.057099
loss: 0.050384 (l2_loss: 0.038281), valid_loss: 0.064920
loss: 0.061222 (l2_loss: 0.037459), valid_loss: 0.051103
loss: 0.075118 (l2_loss: 0.036930), valid_loss: 0.039617
loss: 0.057574 (l2_loss: 0.036403), valid_loss: 0.047655
loss: 0.057783 (l2_loss: 0.035751), valid_loss: 0.052255
loss: 0.044252 (l2_loss: 0.034393), valid_loss: 0.068897
loss: 0.065074 (l2_loss: 0.034837), valid_loss: 0.048697
loss: 0.032563 (l2_loss: 0.034432), valid_loss: 0.080212
loss: 0.068291 (l2_loss: 0.034633), valid_loss: 0.038395
loss: 0.060517 (l2_loss: 0.034589), valid_loss: 0.083028
loss: 0.064669 (l2_loss: 0.033670), valid_loss: 0.045831
loss: 0.027324 (l2_loss: 0.033641), valid_loss: 0.038316
loss: 0.048207 (l2_loss: 0.033573), valid_loss: 0.042717
loss: 0.057521 (l2_loss: 0.032592), valid_loss: 0.047546
loss: 0.037211 (l2_loss: 0.033201), valid_loss: 0.049028
loss: 0.038068 (l2_loss: 0.032567), valid_loss: 0.030965
loss: 0.023109 (l2_loss: 0.032443), valid_loss: 0.046034
loss: 0.042508 (l2_loss: 0.032491), valid_loss: 0.046818
loss: 0.030282 (l2_loss: 0.032559), valid_loss: 0.038739
loss: 0.042155 (l2_loss: 0.032412), valid_loss: 0.029312
loss: 2.953846 (l2_loss: 0.009457), valid_loss: 4.040392
loss: 4.394972 (l2_loss: 0.008972), valid_loss: 4.284464
loss: 3.748520 (l2_loss: 0.008604), valid_loss: 3.071374
loss: 3.094917 (l2_loss: 0.008356), valid_loss: 2.950430
loss: 2.620281 (l2_loss: 0.008227), valid_loss: 3.114920
loss: 2.715146 (l2_loss: 0.008214), valid_loss: 2.572870
loss: 2.263678 (l2_loss: 0.008318), valid_loss: 2.276886
loss: 2.621583 (l2_loss: 0.008539), valid_loss: 1.692983
loss: 3.360422 (l2_loss: 0.008876), valid_loss: 1.674567
loss: 1.970291 (l2_loss: 0.009314), valid_loss: 2.341606
loss: 0.391132 (l2_loss: 0.035812), valid_loss: 0.362414
loss: 0.296320 (l2_loss: 0.047560), valid_loss: 0.119242
loss: 0.178136 (l2_loss: 0.054894), valid_loss: 0.097539
loss: 0.096463 (l2_loss: 0.052294), valid_loss: 0.104424
loss: 0.103315 (l2_loss: 0.046701), valid_loss: 0.061568
loss: 0.062859 (l2_loss: 0.044697), valid_loss: 0.077272
loss: 0.060863 (l2_loss: 0.042037), valid_loss: 0.065634
loss: 0.048612 (l2_loss: 0.040370), valid_loss: 0.053326
loss: 0.045931 (l2_loss: 0.038456), valid_loss: 0.064351
loss: 0.049882 (l2_loss: 0.037223), valid_loss: 0.076600
loss: 0.044692 (l2_loss: 0.037229), valid_loss: 0.075261
loss: 0.040524 (l2_loss: 0.035971), valid_loss: 0.057236
loss: 0.032574 (l2_loss: 0.035620), valid_loss: 0.051879
loss: 0.076310 (l2_loss: 0.035045), valid_loss: 0.041478
loss: 0.067278 (l2_loss: 0.034943), valid_loss: 0.034527
loss: 0.053464 (l2_loss: 0.034649), valid_loss: 0.056036
loss: 0.042829 (l2_loss: 0.033986), valid_loss: 0.045595
loss: 0.030198 (l2_loss: 0.034381), valid_loss: 0.056020
loss: 0.041558 (l2_loss: 0.034353), valid_loss: 0.061573
loss: 0.042010 (l2_loss: 0.033252), valid_loss: 0.046701
loss: 0.067404 (l2_loss: 0.033752), valid_loss: 0.060082
loss: 0.056471 (l2_loss: 0.033599), valid_loss: 0.052324
loss: 0.040591 (l2_loss: 0.033324), valid_loss: 0.054215
loss: 0.042148 (l2_loss: 0.033367), valid_loss: 0.039163
loss: 0.037660 (l2_loss: 0.033049), valid_loss: 0.056634
loss: 0.030677 (l2_loss: 0.033018), valid_loss: 0.038864
loss: 0.042677 (l2_loss: 0.032603), valid_loss: 0.031658
loss: 0.057160 (l2_loss: 0.031973), valid_loss: 0.040574
loss: 0.028167 (l2_loss: 0.032334), valid_loss: 0.049269
loss: 2.953259 (l2_loss: 0.009446), valid_loss: 2.460525
loss: 3.791147 (l2_loss: 0.008879), valid_loss: 2.655694
loss: 3.020481 (l2_loss: 0.008439), valid_loss: 3.416661
loss: 3.220837 (l2_loss: 0.008122), valid_loss: 2.917702
loss: 2.691038 (l2_loss: 0.007922), valid_loss: 2.383375
loss: 3.188858 (l2_loss: 0.007841), valid_loss: 3.143145
loss: 2.798865 (l2_loss: 0.007872), valid_loss: 2.884672
loss: 2.037215 (l2_loss: 0.008021), valid_loss: 2.928944
loss: 2.634862 (l2_loss: 0.008291), valid_loss: 2.363075
loss: 1.049827 (l2_loss: 0.008677), valid_loss: 2.416344
loss: 0.445247 (l2_loss: 0.033986), valid_loss: 0.608071
loss: 0.295805 (l2_loss: 0.047477), valid_loss: 0.293257
loss: 0.125299 (l2_loss: 0.054515), valid_loss: 0.134339
loss: 0.121222 (l2_loss: 0.053401), valid_loss: 0.090724
loss: 0.080539 (l2_loss: 0.048201), valid_loss: 0.100734
loss: 0.042031 (l2_loss: 0.044597), valid_loss: 0.081877
loss: 0.049903 (l2_loss: 0.041335), valid_loss: 0.070115
loss: 0.083610 (l2_loss: 0.039366), valid_loss: 0.060803
loss: 0.055153 (l2_loss: 0.038643), valid_loss: 0.055699
loss: 0.067739 (l2_loss: 0.037421), valid_loss: 0.068945
loss: 0.056484 (l2_loss: 0.035486), valid_loss: 0.048467
loss: 0.065382 (l2_loss: 0.036413), valid_loss: 0.076164
loss: 0.047262 (l2_loss: 0.035553), valid_loss: 0.070118
loss: 0.055168 (l2_loss: 0.034625), valid_loss: 0.061573
loss: 0.046014 (l2_loss: 0.033594), valid_loss: 0.049088
loss: 0.066845 (l2_loss: 0.032745), valid_loss: 0.056078
loss: 0.035750 (l2_loss: 0.033108), valid_loss: 0.054825
