loss: 2.466172 (l2_loss: 0.007035), valid_loss: 1.911654
loss: 1.578498 (l2_loss: 0.006826), valid_loss: 1.659469
loss: 1.579989 (l2_loss: 0.006671), valid_loss: 1.912078
loss: 0.973882 (l2_loss: 0.006586), valid_loss: 0.866661
loss: 1.559856 (l2_loss: 0.006573), valid_loss: 1.873977
loss: 1.027864 (l2_loss: 0.006634), valid_loss: 1.241286
loss: 1.587797 (l2_loss: 0.006777), valid_loss: 1.349465
loss: 0.888920 (l2_loss: 0.006997), valid_loss: 1.074985
loss: 1.516676 (l2_loss: 0.007301), valid_loss: 1.317367
loss: 1.151193 (l2_loss: 0.007681), valid_loss: 0.873190
loss: 0.048297 (l2_loss: 0.045081), valid_loss: 0.043411
loss: 0.040298 (l2_loss: 0.030266), valid_loss: 0.046107
loss: 0.042191 (l2_loss: 0.027227), valid_loss: 0.034953
loss: 0.032258 (l2_loss: 0.024734), valid_loss: 0.022932
loss: 0.017288 (l2_loss: 0.023194), valid_loss: 0.029250
loss: 0.015017 (l2_loss: 0.022388), valid_loss: 0.022309
loss: 0.007771 (l2_loss: 0.021017), valid_loss: 0.016605
loss: 0.018873 (l2_loss: 0.019307), valid_loss: 0.015335
loss: 0.010964 (l2_loss: 0.018620), valid_loss: 0.017731
loss: 0.018130 (l2_loss: 0.017475), valid_loss: 0.011118
loss: 0.014152 (l2_loss: 0.016552), valid_loss: 0.013544
loss: 0.011075 (l2_loss: 0.015785), valid_loss: 0.007937
loss: 0.007960 (l2_loss: 0.015306), valid_loss: 0.014239
loss: 0.009387 (l2_loss: 0.014394), valid_loss: 0.009400
loss: 0.013809 (l2_loss: 0.014248), valid_loss: 0.013970
loss: 0.012350 (l2_loss: 0.013505), valid_loss: 0.008933
loss: 0.018560 (l2_loss: 0.012957), valid_loss: 0.011103
loss: 0.010084 (l2_loss: 0.012544), valid_loss: 0.011780
loss: 0.016143 (l2_loss: 0.012255), valid_loss: 0.015026
loss: 0.015294 (l2_loss: 0.011880), valid_loss: 0.010728
