loss: 5.859884 (l2_loss: 0.006846), valid_loss: 4.041071
loss: 4.202479 (l2_loss: 0.006503), valid_loss: 4.097458
loss: 4.517170 (l2_loss: 0.006269), valid_loss: 4.065805
loss: 5.677016 (l2_loss: 0.006114), valid_loss: 5.038142
loss: 4.417516 (l2_loss: 0.006035), valid_loss: 3.490991
loss: 4.262017 (l2_loss: 0.006036), valid_loss: 4.708410
loss: 4.014450 (l2_loss: 0.006118), valid_loss: 3.984059
loss: 3.669644 (l2_loss: 0.006281), valid_loss: 4.319268
loss: 3.562192 (l2_loss: 0.006528), valid_loss: 3.673471
loss: 2.997180 (l2_loss: 0.006859), valid_loss: 3.397329
loss: 0.249099 (l2_loss: 0.026790), valid_loss: 0.265732
loss: 0.122369 (l2_loss: 0.037337), valid_loss: 0.110181
loss: 0.087390 (l2_loss: 0.033630), valid_loss: 0.097846
loss: 0.072712 (l2_loss: 0.029185), valid_loss: 0.125987
loss: 0.079780 (l2_loss: 0.026965), valid_loss: 0.112207
loss: 0.107666 (l2_loss: 0.025298), valid_loss: 0.053863
loss: 0.064110 (l2_loss: 0.023797), valid_loss: 0.060847
loss: 0.067972 (l2_loss: 0.022347), valid_loss: 0.066562
loss: 0.095315 (l2_loss: 0.021927), valid_loss: 0.062107
loss: 0.064110 (l2_loss: 0.021343), valid_loss: 0.090040
loss: 0.028242 (l2_loss: 0.021547), valid_loss: 0.082898
loss: 0.073482 (l2_loss: 0.020797), valid_loss: 0.061858
loss: 0.070795 (l2_loss: 0.020720), valid_loss: 0.064605
loss: 0.069678 (l2_loss: 0.020494), valid_loss: 0.045533
loss: 0.098161 (l2_loss: 0.020139), valid_loss: 0.055439
loss: 0.058035 (l2_loss: 0.020344), valid_loss: 0.064466
loss: 0.074452 (l2_loss: 0.019327), valid_loss: 0.062473
loss: 0.065070 (l2_loss: 0.019471), valid_loss: 0.045356
loss: 0.070600 (l2_loss: 0.019240), valid_loss: 0.085167
loss: 0.066814 (l2_loss: 0.019251), valid_loss: 0.092874
loss: 0.054827 (l2_loss: 0.018780), valid_loss: 0.081615
loss: 0.057516 (l2_loss: 0.018873), valid_loss: 0.073364
loss: 0.049449 (l2_loss: 0.018816), valid_loss: 0.070459
loss: 0.055720 (l2_loss: 0.019114), valid_loss: 0.073283
loss: 0.048054 (l2_loss: 0.018668), valid_loss: 0.070104
loss: 0.071128 (l2_loss: 0.019003), valid_loss: 0.049692
loss: 0.079532 (l2_loss: 0.019073), valid_loss: 0.060519
loss: 0.063409 (l2_loss: 0.018771), valid_loss: 0.039492
loss: 0.114976 (l2_loss: 0.019150), valid_loss: 0.033094
loss: 4.113012 (l2_loss: 0.006904), valid_loss: 5.090940
loss: 5.524495 (l2_loss: 0.006587), valid_loss: 3.720398
loss: 4.047285 (l2_loss: 0.006394), valid_loss: 4.130923
loss: 4.584920 (l2_loss: 0.006280), valid_loss: 4.255441
loss: 5.010531 (l2_loss: 0.006253), valid_loss: 4.372142
loss: 3.431042 (l2_loss: 0.006310), valid_loss: 4.034265
loss: 4.078209 (l2_loss: 0.006458), valid_loss: 3.504632
loss: 4.089219 (l2_loss: 0.006694), valid_loss: 3.996405
loss: 2.914570 (l2_loss: 0.007020), valid_loss: 3.322150
loss: 3.281667 (l2_loss: 0.007444), valid_loss: 3.085546
loss: 0.189287 (l2_loss: 0.028860), valid_loss: 0.121317
loss: 0.121614 (l2_loss: 0.039866), valid_loss: 0.093273
loss: 0.046540 (l2_loss: 0.034017), valid_loss: 0.084870
loss: 0.050781 (l2_loss: 0.029376), valid_loss: 0.098519
loss: 0.048895 (l2_loss: 0.026420), valid_loss: 0.071287
loss: 0.064600 (l2_loss: 0.024424), valid_loss: 0.057190
loss: 0.058052 (l2_loss: 0.022968), valid_loss: 0.056201
loss: 0.054100 (l2_loss: 0.022619), valid_loss: 0.032301
loss: 0.069256 (l2_loss: 0.021433), valid_loss: 0.034120
loss: 0.072864 (l2_loss: 0.021176), valid_loss: 0.057967
loss: 0.072846 (l2_loss: 0.020253), valid_loss: 0.049262
