loss: 0.071604 (l2_loss: 0.024844), valid_loss: 0.037064
loss: 0.072605 (l2_loss: 0.023467), valid_loss: 0.043560
loss: 0.080159 (l2_loss: 0.023034), valid_loss: 0.075003
loss: 0.082168 (l2_loss: 0.022097), valid_loss: 0.073374
loss: 0.071365 (l2_loss: 0.021441), valid_loss: 0.072207
loss: 0.067225 (l2_loss: 0.021405), valid_loss: 0.088240
loss: 0.074573 (l2_loss: 0.020528), valid_loss: 0.074959
loss: 0.110677 (l2_loss: 0.019806), valid_loss: 0.074421
loss: 0.106320 (l2_loss: 0.019090), valid_loss: 0.089274
loss: 0.053682 (l2_loss: 0.018884), valid_loss: 0.099817
loss: 0.051620 (l2_loss: 0.018573), valid_loss: 0.068944
loss: 0.051692 (l2_loss: 0.018909), valid_loss: 0.057604
loss: 0.050220 (l2_loss: 0.018029), valid_loss: 0.044195
loss: 0.048864 (l2_loss: 0.018176), valid_loss: 0.076092
loss: 0.065337 (l2_loss: 0.018082), valid_loss: 0.066251
loss: 0.052913 (l2_loss: 0.017927), valid_loss: 0.069669
loss: 0.049911 (l2_loss: 0.017661), valid_loss: 0.090656
loss: 0.061738 (l2_loss: 0.018109), valid_loss: 0.054722
loss: 0.075291 (l2_loss: 0.017754), valid_loss: 0.077838
loss: 0.065978 (l2_loss: 0.017252), valid_loss: 0.054628
loss: 0.056608 (l2_loss: 0.017527), valid_loss: 0.084784
loss: 0.061446 (l2_loss: 0.017137), valid_loss: 0.065810
loss: 0.043115 (l2_loss: 0.017155), valid_loss: 0.042394
[[1.         0.94274964]
 [0.94274964 1.        ]]
0.9427496360686173
