****************
acc: 0.9142
****************
loss: 0.672006 (l2_loss: 0.375678), acc: 0.750000, valid_acc: 0.875000
loss: 0.626759 (l2_loss: 0.374739), acc: 0.906250, valid_acc: 1.000000
loss: 0.575810 (l2_loss: 0.373797), acc: 1.000000, valid_acc: 1.000000
loss: 0.559571 (l2_loss: 0.372863), acc: 0.984375, valid_acc: 0.984375
loss: 0.504164 (l2_loss: 0.371924), acc: 1.000000, valid_acc: 1.000000
loss: 0.470687 (l2_loss: 0.370994), acc: 1.000000, valid_acc: 1.000000
loss: 0.412910 (l2_loss: 0.370069), acc: 1.000000, valid_acc: 1.000000
loss: 0.411372 (l2_loss: 0.369150), acc: 1.000000, valid_acc: 1.000000
loss: 0.394564 (l2_loss: 0.368231), acc: 1.000000, valid_acc: 1.000000
loss: 0.347355 (l2_loss: 0.367308), acc: 1.000000, valid_acc: 1.000000
loss: 0.024531 (l2_loss: 0.272835), acc: 1.000000, valid_acc: 0.984375
loss: 0.008933 (l2_loss: 0.189880), acc: 1.000000, valid_acc: 1.000000
loss: 0.019242 (l2_loss: 0.134858), acc: 1.000000, valid_acc: 1.000000
loss: 0.006031 (l2_loss: 0.098186), acc: 1.000000, valid_acc: 1.000000
loss: 0.003800 (l2_loss: 0.073584), acc: 1.000000, valid_acc: 1.000000
loss: 0.014955 (l2_loss: 0.056355), acc: 1.000000, valid_acc: 1.000000
loss: 0.004989 (l2_loss: 0.044402), acc: 1.000000, valid_acc: 1.000000
loss: 0.009218 (l2_loss: 0.036041), acc: 1.000000, valid_acc: 1.000000
loss: 0.007533 (l2_loss: 0.030375), acc: 1.000000, valid_acc: 0.984375
loss: 0.001286 (l2_loss: 0.026080), acc: 1.000000, valid_acc: 1.000000
loss: 0.005910 (l2_loss: 0.023021), acc: 1.000000, valid_acc: 1.000000
loss: 0.004936 (l2_loss: 0.020609), acc: 1.000000, valid_acc: 1.000000
loss: 0.006972 (l2_loss: 0.018946), acc: 1.000000, valid_acc: 1.000000
loss: 0.002859 (l2_loss: 0.017792), acc: 1.000000, valid_acc: 1.000000
loss: 0.004736 (l2_loss: 0.016780), acc: 1.000000, valid_acc: 1.000000
loss: 0.006241 (l2_loss: 0.015804), acc: 1.000000, valid_acc: 1.000000
loss: 0.001918 (l2_loss: 0.015754), acc: 1.000000, valid_acc: 1.000000
loss: 0.005811 (l2_loss: 0.015186), acc: 1.000000, valid_acc: 1.000000
loss: 0.009659 (l2_loss: 0.014787), acc: 1.000000, valid_acc: 1.000000
loss: 0.004691 (l2_loss: 0.014681), acc: 1.000000, valid_acc: 1.000000
loss: 0.002098 (l2_loss: 0.014624), acc: 1.000000, valid_acc: 1.000000
loss: 0.004075 (l2_loss: 0.014415), acc: 1.000000, valid_acc: 1.000000
loss: 0.003597 (l2_loss: 0.014422), acc: 1.000000, valid_acc: 1.000000
loss: 0.005431 (l2_loss: 0.014260), acc: 1.000000, valid_acc: 1.000000
