loss: 4.154109 (l2_loss: 0.006887), valid_loss: 5.495405
loss: 5.374146 (l2_loss: 0.006531), valid_loss: 6.553282
loss: 4.727354 (l2_loss: 0.006306), valid_loss: 3.970969
loss: 3.593777 (l2_loss: 0.006155), valid_loss: 4.558059
loss: 3.813002 (l2_loss: 0.006077), valid_loss: 4.252875
loss: 3.843489 (l2_loss: 0.006076), valid_loss: 3.920171
loss: 4.728288 (l2_loss: 0.006155), valid_loss: 3.670713
loss: 4.397100 (l2_loss: 0.006310), valid_loss: 4.940682
loss: 3.627234 (l2_loss: 0.006546), valid_loss: 3.699362
loss: 3.681593 (l2_loss: 0.006872), valid_loss: 3.246063
loss: 0.342795 (l2_loss: 0.026946), valid_loss: 0.265323
loss: 0.138459 (l2_loss: 0.042487), valid_loss: 0.098590
loss: 0.081244 (l2_loss: 0.036739), valid_loss: 0.111232
loss: 0.052798 (l2_loss: 0.031375), valid_loss: 0.062407
loss: 0.064117 (l2_loss: 0.028467), valid_loss: 0.077499
loss: 0.069593 (l2_loss: 0.026844), valid_loss: 0.051076
loss: 0.067220 (l2_loss: 0.025591), valid_loss: 0.039700
loss: 0.050452 (l2_loss: 0.024163), valid_loss: 0.052673
loss: 0.065667 (l2_loss: 0.023078), valid_loss: 0.061785
loss: 0.082954 (l2_loss: 0.023253), valid_loss: 0.063414
loss: 0.053269 (l2_loss: 0.022725), valid_loss: 0.047202
loss: 0.056936 (l2_loss: 0.022481), valid_loss: 0.059114
loss: 0.078034 (l2_loss: 0.022324), valid_loss: 0.067516
loss: 0.062070 (l2_loss: 0.021603), valid_loss: 0.046862
loss: 0.054055 (l2_loss: 0.021089), valid_loss: 0.067389
loss: 0.049592 (l2_loss: 0.021292), valid_loss: 0.074837
loss: 0.030218 (l2_loss: 0.020890), valid_loss: 0.046032
loss: 0.044180 (l2_loss: 0.020621), valid_loss: 0.056626
loss: 0.052828 (l2_loss: 0.020687), valid_loss: 0.041346
loss: 0.074517 (l2_loss: 0.021031), valid_loss: 0.065554
loss: 0.038228 (l2_loss: 0.020311), valid_loss: 0.036153
loss: 0.054497 (l2_loss: 0.020188), valid_loss: 0.075592
loss: 0.050268 (l2_loss: 0.019962), valid_loss: 0.051489
loss: 0.075496 (l2_loss: 0.020059), valid_loss: 0.031747
loss: 0.034123 (l2_loss: 0.019823), valid_loss: 0.043583
loss: 0.047459 (l2_loss: 0.019660), valid_loss: 0.045877
loss: 0.026708 (l2_loss: 0.019483), valid_loss: 0.027420
loss: 0.031066 (l2_loss: 0.019225), valid_loss: 0.060569
loss: 0.040282 (l2_loss: 0.019321), valid_loss: 0.049304
loss: 5.977784 (l2_loss: 0.006876), valid_loss: 5.269625
loss: 4.931025 (l2_loss: 0.006593), valid_loss: 5.325786
loss: 3.777132 (l2_loss: 0.006398), valid_loss: 4.294945
loss: 4.513547 (l2_loss: 0.006270), valid_loss: 4.684765
loss: 3.843946 (l2_loss: 0.006213), valid_loss: 3.913093
loss: 4.308455 (l2_loss: 0.006229), valid_loss: 4.204064
loss: 4.026320 (l2_loss: 0.006318), valid_loss: 3.713724
loss: 3.354743 (l2_loss: 0.006484), valid_loss: 3.965411
loss: 4.270861 (l2_loss: 0.006731), valid_loss: 2.887485
loss: 2.729978 (l2_loss: 0.007053), valid_loss: 3.335783
loss: 0.181031 (l2_loss: 0.025422), valid_loss: 0.414514
loss: 0.077217 (l2_loss: 0.039695), valid_loss: 0.179412
loss: 0.111377 (l2_loss: 0.035424), valid_loss: 0.060690
loss: 0.055254 (l2_loss: 0.032328), valid_loss: 0.081431
loss: 0.039695 (l2_loss: 0.028648), valid_loss: 0.092605
loss: 0.069492 (l2_loss: 0.025185), valid_loss: 0.073526
loss: 0.073521 (l2_loss: 0.024953), valid_loss: 0.094529
loss: 0.081392 (l2_loss: 0.024017), valid_loss: 0.128820
loss: 0.056471 (l2_loss: 0.022842), valid_loss: 0.062542
loss: 0.056530 (l2_loss: 0.022505), valid_loss: 0.059621
loss: 0.080942 (l2_loss: 0.021375), valid_loss: 0.054703
loss: 0.060135 (l2_loss: 0.021285), valid_loss: 0.076251
loss: 0.084896 (l2_loss: 0.020682), valid_loss: 0.053588
loss: 0.056076 (l2_loss: 0.020567), valid_loss: 0.071745
loss: 0.058424 (l2_loss: 0.019802), valid_loss: 0.079812
loss: 0.059323 (l2_loss: 0.019710), valid_loss: 0.063759
loss: 0.053875 (l2_loss: 0.019836), valid_loss: 0.071751
loss: 0.061786 (l2_loss: 0.019425), valid_loss: 0.081003
loss: 0.088161 (l2_loss: 0.019559), valid_loss: 0.059139
loss: 0.064147 (l2_loss: 0.019583), valid_loss: 0.044624
loss: 0.045066 (l2_loss: 0.019409), valid_loss: 0.070880
loss: 0.082092 (l2_loss: 0.019343), valid_loss: 0.073257
loss: 0.050176 (l2_loss: 0.019512), valid_loss: 0.048057
loss: 0.036089 (l2_loss: 0.019535), valid_loss: 0.057399
loss: 0.048721 (l2_loss: 0.019061), valid_loss: 0.064143
loss: 0.060194 (l2_loss: 0.019158), valid_loss: 0.053952
loss: 0.076785 (l2_loss: 0.019307), valid_loss: 0.063739
loss: 0.049719 (l2_loss: 0.019156), valid_loss: 0.039895
loss: 0.030752 (l2_loss: 0.019280), valid_loss: 0.068096
loss: 5.562228 (l2_loss: 0.006878), valid_loss: 6.259158
loss: 4.672426 (l2_loss: 0.006553), valid_loss: 4.473569
loss: 5.476982 (l2_loss: 0.006331), valid_loss: 4.619701
loss: 4.920417 (l2_loss: 0.006190), valid_loss: 4.239002
loss: 5.945227 (l2_loss: 0.006129), valid_loss: 4.453122
loss: 4.340731 (l2_loss: 0.006144), valid_loss: 5.068763
loss: 3.712421 (l2_loss: 0.006246), valid_loss: 2.669636
loss: 3.935693 (l2_loss: 0.006434), valid_loss: 4.219090
loss: 2.854669 (l2_loss: 0.006708), valid_loss: 2.729810
loss: 3.887060 (l2_loss: 0.007071), valid_loss: 3.174230
loss: 0.327155 (l2_loss: 0.025768), valid_loss: 0.231958
loss: 0.146986 (l2_loss: 0.037921), valid_loss: 0.096657
loss: 0.064910 (l2_loss: 0.033816), valid_loss: 0.090985
loss: 0.089749 (l2_loss: 0.028601), valid_loss: 0.096091
loss: 0.048700 (l2_loss: 0.025934), valid_loss: 0.102313
loss: 0.077597 (l2_loss: 0.023882), valid_loss: 0.049909
loss: 0.069502 (l2_loss: 0.022884), valid_loss: 0.078019
loss: 0.080235 (l2_loss: 0.021557), valid_loss: 0.063785
loss: 0.074958 (l2_loss: 0.020708), valid_loss: 0.053754
loss: 0.062746 (l2_loss: 0.020553), valid_loss: 0.076681
loss: 0.087135 (l2_loss: 0.019257), valid_loss: 0.066758
loss: 0.058938 (l2_loss: 0.019512), valid_loss: 0.065996
loss: 0.059564 (l2_loss: 0.019444), valid_loss: 0.068861
loss: 0.074762 (l2_loss: 0.019168), valid_loss: 0.065372
loss: 0.052655 (l2_loss: 0.018376), valid_loss: 0.059080
loss: 0.063569 (l2_loss: 0.018353), valid_loss: 0.057702
loss: 0.072958 (l2_loss: 0.018443), valid_loss: 0.063438
loss: 0.065732 (l2_loss: 0.018416), valid_loss: 0.067409
loss: 0.071751 (l2_loss: 0.017562), valid_loss: 0.069748
loss: 0.044594 (l2_loss: 0.017949), valid_loss: 0.067480
loss: 0.043756 (l2_loss: 0.017795), valid_loss: 0.063623
loss: 0.057488 (l2_loss: 0.017253), valid_loss: 0.063255
loss: 0.065708 (l2_loss: 0.017734), valid_loss: 0.049317
loss: 0.044467 (l2_loss: 0.017758), valid_loss: 0.047383
loss: 0.062000 (l2_loss: 0.017395), valid_loss: 0.067999
loss: 0.049505 (l2_loss: 0.017677), valid_loss: 0.052181
loss: 0.055748 (l2_loss: 0.017821), valid_loss: 0.075471
loss: 0.065855 (l2_loss: 0.017680), valid_loss: 0.024563
loss: 0.078224 (l2_loss: 0.017224), valid_loss: 0.070110
[[1.         0.85259993]
 [0.85259993 1.        ]]
0.8525999335857393
