loss: 3.150001 (l2_loss: 0.009447), valid_loss: 2.563868
loss: 2.043691 (l2_loss: 0.008906), valid_loss: 2.149523
loss: 2.231250 (l2_loss: 0.008462), valid_loss: 2.594763
loss: 1.508879 (l2_loss: 0.008130), valid_loss: 1.318684
loss: 2.097531 (l2_loss: 0.007909), valid_loss: 2.276352
loss: 1.504679 (l2_loss: 0.007797), valid_loss: 1.715079
loss: 2.093507 (l2_loss: 0.007797), valid_loss: 1.768382
loss: 1.400662 (l2_loss: 0.007899), valid_loss: 1.536636
loss: 2.194042 (l2_loss: 0.008113), valid_loss: 1.753811
loss: 1.517289 (l2_loss: 0.008421), valid_loss: 1.372344
loss: 0.353814 (l2_loss: 0.039729), valid_loss: 0.343649
loss: 0.388949 (l2_loss: 0.044170), valid_loss: 0.247039
loss: 0.163390 (l2_loss: 0.052897), valid_loss: 0.153961
loss: 0.104641 (l2_loss: 0.051149), valid_loss: 0.091209
loss: 0.096359 (l2_loss: 0.047537), valid_loss: 0.052952
loss: 0.064767 (l2_loss: 0.043947), valid_loss: 0.065066
loss: 0.044872 (l2_loss: 0.041135), valid_loss: 0.043101
loss: 0.034310 (l2_loss: 0.040223), valid_loss: 0.042308
loss: 0.042995 (l2_loss: 0.039524), valid_loss: 0.059000
loss: 0.055039 (l2_loss: 0.037112), valid_loss: 0.063944
loss: 0.026382 (l2_loss: 0.036051), valid_loss: 0.048966
loss: 0.031944 (l2_loss: 0.035883), valid_loss: 0.042586
loss: 0.033211 (l2_loss: 0.034490), valid_loss: 0.031144
loss: 0.023819 (l2_loss: 0.034593), valid_loss: 0.046755
loss: 0.038777 (l2_loss: 0.033441), valid_loss: 0.035482
loss: 0.026552 (l2_loss: 0.032358), valid_loss: 0.032715
loss: 0.032624 (l2_loss: 0.032076), valid_loss: 0.027474
loss: 0.034518 (l2_loss: 0.031847), valid_loss: 0.032397
loss: 0.034907 (l2_loss: 0.031537), valid_loss: 0.033618
loss: 0.039367 (l2_loss: 0.031359), valid_loss: 0.040951
loss: 0.015544 (l2_loss: 0.030400), valid_loss: 0.034822
loss: 0.027511 (l2_loss: 0.030470), valid_loss: 0.038381
loss: 0.030698 (l2_loss: 0.030269), valid_loss: 0.032842
loss: 0.030430 (l2_loss: 0.029652), valid_loss: 0.037172
loss: 0.041492 (l2_loss: 0.029660), valid_loss: 0.033777
loss: 0.025891 (l2_loss: 0.028702), valid_loss: 0.031651
loss: 0.036470 (l2_loss: 0.028954), valid_loss: 0.046875
loss: 0.026874 (l2_loss: 0.028914), valid_loss: 0.036651
loss: 0.016385 (l2_loss: 0.028767), valid_loss: 0.041496
loss: 2.599825 (l2_loss: 0.009460), valid_loss: 3.012019
loss: 2.207600 (l2_loss: 0.008930), valid_loss: 3.044925
loss: 2.306887 (l2_loss: 0.008493), valid_loss: 2.873451
loss: 2.843488 (l2_loss: 0.008163), valid_loss: 2.358967
loss: 2.060638 (l2_loss: 0.007941), valid_loss: 1.484285
loss: 1.569737 (l2_loss: 0.007828), valid_loss: 1.948335
loss: 1.280114 (l2_loss: 0.007821), valid_loss: 2.213504
loss: 1.951288 (l2_loss: 0.007921), valid_loss: 1.435303
loss: 1.056797 (l2_loss: 0.008114), valid_loss: 2.058804
loss: 1.594010 (l2_loss: 0.008415), valid_loss: 1.789891
loss: 0.449440 (l2_loss: 0.038311), valid_loss: 0.342162
loss: 0.248552 (l2_loss: 0.041656), valid_loss: 0.261681
loss: 0.077619 (l2_loss: 0.047904), valid_loss: 0.168215
loss: 0.053745 (l2_loss: 0.046054), valid_loss: 0.087997
loss: 0.036322 (l2_loss: 0.040970), valid_loss: 0.047053
loss: 0.036106 (l2_loss: 0.038075), valid_loss: 0.027333
loss: 0.032259 (l2_loss: 0.035379), valid_loss: 0.032076
loss: 0.025086 (l2_loss: 0.033267), valid_loss: 0.042388
loss: 0.025042 (l2_loss: 0.031489), valid_loss: 0.021333
loss: 0.017256 (l2_loss: 0.029887), valid_loss: 0.028270
loss: 0.024237 (l2_loss: 0.028594), valid_loss: 0.038093
loss: 0.020158 (l2_loss: 0.027971), valid_loss: 0.021393
loss: 0.020729 (l2_loss: 0.027028), valid_loss: 0.027701
loss: 0.019726 (l2_loss: 0.026087), valid_loss: 0.032805
loss: 0.015965 (l2_loss: 0.025531), valid_loss: 0.028607
