loss: 3.797331 (l2_loss: 0.006835), valid_loss: 3.585628
loss: 3.447506 (l2_loss: 0.006458), valid_loss: 3.473029
loss: 3.721200 (l2_loss: 0.006203), valid_loss: 4.548631
loss: 4.907078 (l2_loss: 0.006043), valid_loss: 2.876046
loss: 3.593706 (l2_loss: 0.005971), valid_loss: 3.316527
loss: 3.404440 (l2_loss: 0.005992), valid_loss: 3.754958
loss: 3.314995 (l2_loss: 0.006107), valid_loss: 2.963884
loss: 3.058388 (l2_loss: 0.006316), valid_loss: 2.733649
loss: 3.188722 (l2_loss: 0.006620), valid_loss: 2.505753
loss: 3.230752 (l2_loss: 0.007019), valid_loss: 2.261072
loss: 0.182316 (l2_loss: 0.028612), valid_loss: 0.231040
loss: 0.092106 (l2_loss: 0.036558), valid_loss: 0.074220
loss: 0.129147 (l2_loss: 0.031345), valid_loss: 0.085405
loss: 0.084961 (l2_loss: 0.027339), valid_loss: 0.116395
loss: 0.061664 (l2_loss: 0.026377), valid_loss: 0.100701
loss: 0.101288 (l2_loss: 0.024088), valid_loss: 0.088432
loss: 0.115618 (l2_loss: 0.023251), valid_loss: 0.127352
loss: 0.086706 (l2_loss: 0.022357), valid_loss: 0.155267
loss: 0.113049 (l2_loss: 0.022076), valid_loss: 0.132274
loss: 0.082838 (l2_loss: 0.022579), valid_loss: 0.107762
loss: 0.067972 (l2_loss: 0.021211), valid_loss: 0.069244
loss: 0.130384 (l2_loss: 0.021175), valid_loss: 0.083721
loss: 0.086244 (l2_loss: 0.021713), valid_loss: 0.079121
loss: 0.075597 (l2_loss: 0.020964), valid_loss: 0.116828
loss: 0.109937 (l2_loss: 0.020873), valid_loss: 0.088780
loss: 0.078896 (l2_loss: 0.019696), valid_loss: 0.103866
loss: 0.041962 (l2_loss: 0.020506), valid_loss: 0.098430
loss: 0.096313 (l2_loss: 0.020095), valid_loss: 0.062423
loss: 0.069908 (l2_loss: 0.018982), valid_loss: 0.079096
loss: 0.137314 (l2_loss: 0.019809), valid_loss: 0.082523
loss: 0.093267 (l2_loss: 0.019615), valid_loss: 0.075842
loss: 0.127914 (l2_loss: 0.018919), valid_loss: 0.094462
loss: 0.072706 (l2_loss: 0.019373), valid_loss: 0.098418
loss: 0.081282 (l2_loss: 0.019133), valid_loss: 0.086873
loss: 0.082694 (l2_loss: 0.018944), valid_loss: 0.090559
loss: 0.080809 (l2_loss: 0.018683), valid_loss: 0.069128
loss: 0.060207 (l2_loss: 0.019374), valid_loss: 0.088091
loss: 0.049094 (l2_loss: 0.018170), valid_loss: 0.070511
loss: 0.121419 (l2_loss: 0.018590), valid_loss: 0.090996
loss: 4.250509 (l2_loss: 0.006811), valid_loss: 3.547825
loss: 4.029578 (l2_loss: 0.006455), valid_loss: 4.799691
loss: 3.763586 (l2_loss: 0.006225), valid_loss: 3.289029
loss: 3.523959 (l2_loss: 0.006081), valid_loss: 3.505810
loss: 3.382703 (l2_loss: 0.006022), valid_loss: 2.458960
loss: 3.313954 (l2_loss: 0.006049), valid_loss: 2.855215
loss: 3.432985 (l2_loss: 0.006162), valid_loss: 3.206909
loss: 3.136796 (l2_loss: 0.006362), valid_loss: 2.762016
loss: 3.983362 (l2_loss: 0.006652), valid_loss: 2.863228
loss: 2.912128 (l2_loss: 0.007022), valid_loss: 2.652643
loss: 0.329967 (l2_loss: 0.029820), valid_loss: 0.271896
loss: 0.136764 (l2_loss: 0.036900), valid_loss: 0.054951
loss: 0.115981 (l2_loss: 0.030780), valid_loss: 0.093956
loss: 0.108142 (l2_loss: 0.027454), valid_loss: 0.134260
loss: 0.083636 (l2_loss: 0.025711), valid_loss: 0.113626
loss: 0.092953 (l2_loss: 0.024878), valid_loss: 0.103705
loss: 0.082431 (l2_loss: 0.023957), valid_loss: 0.097828
loss: 0.107203 (l2_loss: 0.024329), valid_loss: 0.090065
loss: 0.104838 (l2_loss: 0.023787), valid_loss: 0.175624
loss: 0.141254 (l2_loss: 0.022715), valid_loss: 0.090439
loss: 0.115091 (l2_loss: 0.022788), valid_loss: 0.065782
loss: 0.089066 (l2_loss: 0.022486), valid_loss: 0.104862
loss: 0.142246 (l2_loss: 0.022976), valid_loss: 0.099472
loss: 0.076797 (l2_loss: 0.022539), valid_loss: 0.086879
loss: 0.049129 (l2_loss: 0.023272), valid_loss: 0.081137
loss: 0.088600 (l2_loss: 0.023429), valid_loss: 0.072285
loss: 0.065842 (l2_loss: 0.023544), valid_loss: 0.098676
loss: 0.126195 (l2_loss: 0.022482), valid_loss: 0.106762
loss: 0.073271 (l2_loss: 0.023574), valid_loss: 0.097262
loss: 0.074104 (l2_loss: 0.023652), valid_loss: 0.090831
loss: 0.064789 (l2_loss: 0.023596), valid_loss: 0.058824
loss: 0.074074 (l2_loss: 0.024107), valid_loss: 0.068405
loss: 0.075521 (l2_loss: 0.024123), valid_loss: 0.053737
