#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
0.382554,111,166.032786
0.317823,139,167.31628
0.291533,114,168.233056
0.546442,125,169.372415
0.502337,127,170.370363
0.193947,129,171.485059
0.553525,113,172.451127
0.558568,125,173.521638
0.475877,117,175.863987
0.579082,148,177.077385
0.489159,136,178.270773
0.201133,50,178.757077
0.530936,113,179.685225
0.516049,109,180.534673
0.418445,112,181.430872
0.423709,140,182.563869
0.486274,124,183.491142
0.431461,120,184.46862
0.306526,116,185.504629
0.418832,127,186.449715
0.598144,139,187.613571
0.571583,130,188.63613
0.480239,134,189.845798
0.446769,107,190.690944
0.475182,141,191.989561
0.340818,114,193.013654
0.543238,126,194.06424
0.471588,118,195.043601
0.523812,134,196.213216
0.603531,154,197.542209
-0.002116,33,197.823362
0.464471,142,199.076613
0.50657,113,200.009066
0.39717,128,201.092175
0.392864,151,202.380337
0.547784,136,203.52673
0.592582,126,204.622296
0.542239,119,205.726655
0.51825,141,206.843352
0.525086,136,208.07482
0.339081,142,209.214271
0.528285,121,210.38754
0.375574,112,211.328751
0.587565,144,212.535525
0.579021,127,213.565978
0.367218,132,214.690206
0.374521,115,215.650132
0.509483,160,217.10637
0.549232,146,218.31727
0.595029,130,219.427507
0.448964,125,220.521937
0.368326,143,221.712094
0.566572,114,222.828686
0.455723,138,224.005122
0.576261,129,225.026222
0.385236,130,226.213169
0.475758,121,227.184483
0.598794,118,228.211275
0.476807,168,229.772817
0.438952,106,230.695377
0.515643,126,231.727565
0.435473,117,232.770284
0.362389,182,234.279857
0.629797,124,235.455725
0.519379,127,236.508131
0.568723,122,237.534518
0.449544,113,238.540522
0.530205,129,239.621437
0.625718,132,240.767725
0.595143,135,242.005903
0.225829,85,242.679615
0.470054,113,243.679975
0.622941,145,244.878108
0.506351,125,245.925623
0.618592,153,247.32686
0.517628,129,248.41292
0.453774,139,249.551243
0.47742,123,250.636751
0.59783,116,251.610856
0.627279,152,253.078597
0.481807,145,254.344949
0.590709,124,255.361721
0.640244,150,256.643184
0.532771,125,257.689086
0.589666,161,259.05505
0.57939,149,260.381711
0.605028,138,262.95035
0.609732,134,264.06198
0.464948,148,265.347731
0.560347,140,266.6355
0.461888,152,267.943192
0.603592,160,269.297771
0.647148,125,270.380359
0.442383,125,271.447635
0.642621,145,272.773176
0.545582,140,274.01074
0.475914,136,275.155866
0.510273,129,276.18206
0.547156,188,277.833447
0.45722,163,279.164957
0.512735,129,280.285012
0.459304,128,281.254019
0.537469,142,282.41744
0.535528,132,283.518412
0.520399,145,284.815346
0.428762,152,286.063159
0.522837,140,287.183554
0.569784,132,288.296547
0.654041,136,289.421599
0.361431,132,290.685702
0.044201,35,290.955257
0.263669,139,292.126989
0.496127,158,293.512351
0.400971,146,294.731924
0.502462,123,295.805025
0.438349,136,297.048678
0.594112,130,298.274645
0.389773,192,299.847549
0.514538,131,301.006803
0.428858,173,302.540338
0.607155,145,303.894242
0.564483,154,305.203463
0.487487,112,306.14551
0.583307,122,307.180907
0.374378,132,308.330423
0.405031,125,309.433029
0.508771,158,310.846595
0.593587,112,311.766773
0.447726,139,313.010149
0.55776,178,314.507136
0.660921,135,315.747615
0.416036,129,316.815817
0.595047,135,317.991816
0.651019,158,319.326331
0.51807,144,320.574242
0.663902,114,321.591272
0.594088,185,323.261
0.540377,137,324.394018
0.533405,125,325.447012
0.552762,133,326.582869
0.517979,123,327.568279
0.502378,140,328.919663
0.369999,113,329.813701
0.581574,119,330.844387
0.530247,124,331.881611
0.500233,134,332.970844
0.494954,143,334.356305
0.476336,126,335.369863
0.603071,118,336.411401
0.596701,116,337.375895
0.687962,162,338.753783
0.573833,143,340.055893
0.538526,129,341.172233
0.502012,122,342.18847
0.60773,131,343.394895
0.608008,114,344.356657
0.563944,145,345.589554
0.233051,48,346.016182
0.603657,134,347.344725
0.541989,115,349.631692
0.563312,127,350.640079
0.545474,126,351.728181
0.594061,143,353.107168
0.361698,127,354.182768
0.631051,212,355.966679
0.633725,133,357.122063
0.50415,116,358.109463
0.596834,176,359.687897
0.634309,141,360.858185
0.602113,128,361.934543
0.462776,133,363.117642
0.624978,127,364.190955
0.607528,128,365.419366
0.545742,111,366.31642
0.579589,164,367.792219
0.568525,120,368.766971
0.493285,145,370.064162
0.507298,138,371.298973
0.037765,41,371.629505
0.087151,31,371.935722
0.534029,164,373.394763
0.620813,135,374.563516
0.448779,123,375.593736
0.244609,53,376.019063
0.5771,145,377.292495
0.548607,143,378.441429
0.615695,154,379.69858
0.687668,138,380.844003
0.576757,133,381.849637
0.61531,138,383.005991
0.588625,125,384.038619
0.597621,159,385.394612
0.645226,122,386.375628
0.5558,125,387.412995
0.691876,123,388.477761
0.605937,132,389.658599
0.543815,160,391.007497
0.735921,161,392.351507
0.553783,125,393.383346
0.550765,140,394.60423
0.672693,142,395.868112
0.229532,104,396.786773
0.629007,124,397.832675
0.692712,129,399.005568
0.661587,109,399.930934
0.676151,133,401.09268
0.219692,55,401.539849
0.59941,144,402.801754
0.520578,138,404.122673
0.379512,125,405.170927
0.753741,177,406.680578
0.57605,134,407.813104
0.2973,80,408.6011
0.583147,158,409.982164
0.688415,159,411.310572
0.538064,138,412.479517
0.706624,152,413.760271
0.62969,145,415.110085
0.581027,172,416.552586
0.678775,129,417.576988
0.64385,124,418.65268
0.67727,141,419.847703
0.549266,128,421.058212
0.504556,139,422.204081
0.646328,155,423.502392
0.581801,154,424.840658
0.735765,140,426.007506
0.521957,144,427.345311
0.64599,165,428.708467
0.661453,147,430.014818
0.539631,122,430.991306
0.56387,126,432.049646
0.596532,148,433.469356
0.547953,140,434.699232
0.477866,147,437.808536
0.561602,147,439.150042
0.567971,141,440.315669
0.611754,162,441.659703
0.589782,210,443.452647
0.56255,172,444.885287
0.638593,142,446.183996
